,Pts,Gm1,Gm2,Set1,Set2,Serving,0,1,2,3,4,5
0,00,0,0,0,0,1,42941,4,1018,103,132,101
4,4015,0,0,0,0,1,4,1228,101,122,103,113
5,00,1,0,0,0,0,42941,6,1137,112,103,132
6,150,1,0,0,0,0,42941,5,1138,133,113,113
7,1515,1,0,0,0,0,62941,5,1028,103,132,10403
8,1530,1,0,0,0,0,43141,6,1038,103,112,101
10,3040,1,0,0,0,0,6,1037,113,113,103,1313035
13,00,1,1,0,0,1,4,1237,11403,212,162,112
14,015,1,1,0,0,1,42941,5,1128,103,112,103
15,030,1,1,0,0,1,43141,6,1128,102,101,101
19,00,2,1,0,0,0,6,1338,18401,123,233,151
23,00,2,2,0,0,1,63141,4,1028,102,111,10128
25,300,2,2,0,0,1,4,1228,101,101,102,112
28,150,3,2,0,0,0,4,1137,103,111,102,1013034
34,3015,3,3,0,0,1,6,1227,10401,103,151,203
37,150,4,3,0,0,0,4,1138,113,113,113,113
38,300,4,3,0,0,0,63141,5,1027,102,101,103
39,3015,4,3,0,0,0,6,1039,112,103,112,101
40,3030,4,3,0,0,0,63141,6,1138,111,102,11403
43,5040,4,3,0,0,0,6,1037,112,112,102,113
44,00,4,4,0,0,1,4,1238,113,112,102,112
45,150,4,4,0,0,1,4,1238,103,132,103,113
51,3015,5,4,0,0,0,6,1228,101,101,101,102
53,00,5,5,0,0,1,63041,5,1127,103,112,101
60,1515,6,5,0,0,0,4,1028,102,101,101,102
61,3015,6,5,0,0,0,43041,5,1138,113,113,113
62,3030,6,5,0,0,0,63141,5,1138,112,112,101
63,3040,6,5,0,0,0,6,1027,103,113,101,102
65,150,0,0,1,0,1,6,1238,113,113,113,113
66,300,0,0,1,0,1,42941,5,1028,103,133,10401
80,1515,2,1,1,0,0,52941,4,1018,103,113,132
82,1540,2,1,1,0,0,5,1128,112,113,113,111
83,00,3,1,1,0,1,62941,4,1028,113,113,11128
84,150,3,1,1,0,1,62941,5,1038,113,113,111
85,1515,3,1,1,0,1,43041,5,1028,101,101,102
87,4015,3,1,1,0,1,6,1329,101,102,10401,202
90,300,4,1,1,0,0,4,1029,103,111,101,103
91,400,4,1,1,0,0,440,1137,153,212,161,102
96,300,4,2,1,0,1,43041,5,1128,101,101,103
97,3015,4,2,1,0,1,42941,5,1127,103,113,113
103,400,5,2,1,0,0,4,1138,112,101,101,101
107,015,5,3,1,0,1,42941,4,1128,103,113,113
110,3030,5,3,1,0,1,42941,4,1018,101,102,103
112,00,0,0,0,0,0,43241,5,1128,113,111,1023134
114,1515,0,0,0,0,0,63041,5,1129,112,133,113
115,1530,0,0,0,0,0,6,1238,111,102,103,113
118,4040,0,0,0,0,0,62941,5,1127,112,133,103
120,00,1,0,0,0,1,6,1128,111,102,112,112
127,3015,1,1,0,0,0,42941,4,1138,103,113,113
134,4015,2,1,0,0,1,63041,4,1018,103,111,103
135,4030,2,1,0,0,1,6,1037,113,112,10401,1212935
