,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,f18,f29,b29,f38,b39,b38,f28,f19,f27,f+38,b1,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,b38,b17,f19,f27,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"5d,",4,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,f29,f37,b39,f38,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"6n,",5,b28,b37,s38,s3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"6n,",4,b37,b29,f29,f37,s38,f29,f28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,s28,f-18,f2,v^17,f-1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,b37,b39,s28,f38,b38,b38,s29,f38,b38,b38,b28,f18,f28,f+38,s3,z^37,b-19*,,,,,,,,,,,,,,,,,,,,,,,
10,4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"4n,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6,f27,f17,f28,f38,b28,s38,b38,b38,b38,b28,f19,f+38,b37,i29,f19*,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4n,",6,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,b28,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
