,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"4n,",4,b37,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,f39,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,b27,u1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,f27,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"4w,",5,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6,b28,b+3,b2,v3,m2,o1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6,r27,f+1,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"5n,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4n,",6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"4n,",4,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"4w,",6,b27,b3,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4,r27,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"6w,",4,s29,f+2,b3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"4w,",5,b38,b3,b2,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6,f18,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"4w,",4+,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,5,r28,b+1,f2,z3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,r3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4,b28,f+2,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"6w,",4,f+3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"6d,",6,b28,u3,s-3,z2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,6,f17,u3,b-;3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,4,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4+,r3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6,b28,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"5#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,6,f28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"6d,",6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"6d,",4+,f27,t1,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"q*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"4w,",6,s38,b1,r3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,6,f27,f+1,f2,z2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4,b38,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"4n,",4,b;38,f1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"6w,",6,f27,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"6d,",6,b29,b2,b2,b2,u3,s-1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"4n,",5,b3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4,r27,f-3,b1,f-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"6d,",5,f19,f1,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,4+,b3,z1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"6d,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,6,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"6d,",6,b37,b2,f3,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,6,r29,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"4x,",5,b28,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,4,f28,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"6w,",4,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,4+,r2,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,6,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6+,f2,v2,z+3,z^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,6,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,6,f39,f3,b3,s3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"4d,",4#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"5d,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,6,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"6d,",4+,f27,h2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"4d,",6,f28,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4,r28,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4,r27,f+1,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"6n,",4+,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,6,b27,f+1,r2,z1,p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"4n,",4,b37,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"6w,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"6w,",4,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,6,b27,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4,b37,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"4w,",5,f37,s2,f-3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,6,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,6,b28,y2,s-3,m3,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"4w,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4,b27,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"4n,",6,f29,f3,s3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,4,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"4d,",6,b;27,f-3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"6w,",4,b27,f1!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,4,r28,b+3,b1,v^1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,6,f28,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"6d,",6,b29,b3,b1,y3,s-1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"6d,",4,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,6+,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5,b38,s2,f+1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,5,f29,f2,u3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,5,r27,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"4n,",4,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,5,b28,y1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,5,r29,b3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6,r2,v3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,6,b38,b+1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"4n,",4,b37,s3,s1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"6d,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,4,b37,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,6,f29,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"4w,",4,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,6,f28,u3,s-1,v3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,"6d,",6,b39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6,r39,b3,s3,f1,f1,f3,s1,f+3,b3,i1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"6w,",6,b38,s3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,4,f39,b3,s2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"4w,",6,b38,b3,s3,f3,s2,f3,s3,f2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"4w,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,4,r2;7*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,6,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"6n,",6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,6,f27,u3,p#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,"6d,",6,b38,y1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,"4w,",4,b39,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"5d,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,4,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"6n,",6*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"6n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"6w,",4,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"4w,",6,b27,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,"4w,",6,b27,f2,f3,s2,y3,b-3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,4,f29,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"4w,",4w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"6d,",6,b37,b-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,4,b29,f2,u3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"4w,",5,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,"4w,",4,b37,y3,s-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"4n,",6,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"4w,",6,b27,f-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,"5d,",5,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"6d,",4,b;37,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,6,f28,u3,s-3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,4+,f2,o2,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,4,b29,t1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,6,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,4,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,5,f-39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"4d,",4,b29,f1,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"6d,",4,b38,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,6,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,6,f19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"4w,",4,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,"6d,",6,f29,f3,y1,f-3,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,6,f28,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"6w,",5,b29,f2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"4d,",4,f28,f1,f2,u3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,6,b29,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,6,f27,r1,f1,f2,b+3,b3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"4w,",6,f37,b3,s+3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,4,f27,b2,s+3,b1,v2,t2,z3,b3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,"6d,",4+,b37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,"6w,",6,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"6+d,",4,f28,f2,f2,b2,f2,f1,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,6,s27,u+1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,c4,s1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,4,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"4n,",4,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
