,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4n,",4,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,b29,f2,f3,b2,b1,f1,b+3,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,6,b37,b2,f2,s2,s+2,f3,v3,s1,z1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,f28,b+2,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,b39,b2,f3,b2,f1,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4+,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"6w,",6,b+38,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4w,",4,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,b28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,6,f28,b1,f1,b1,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6,r29,f3,r2,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,6,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,b28,f2,f2,y3,s-2,l2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4+,f37,i2,m3,z3,f-3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,6,s1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4,b27,b+1,f2,o2,s1,b-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"4n,",5,f28,b2,s2,s2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"6n,",6,f29,b1,f+2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"4d,",5,f29,f1,f1,b1,f1,b1,f1,s1,f1,b1,f1,b2,s2,f+3,s2,o3*,,,,,,,,,,,,,,,,,,,,
21,4,s27,f+3,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6,s39,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"6w,",5,b28,f+1,s1,v3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4,r28,f+2,b2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6,f27,f;3,f3,z2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,6,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"6n,",5,b27,f1,b1,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"4w,",5,f28,f2,b2,f2,f2,f1,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"4n,",5,b28,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"4n,",5,f28,f2,b2,f2,f3,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,6,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4,f28,b;2,f3,z2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"4w,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,6,b28,f1,b2,f2,f2,f2,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,"6n,",5,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,6,b28,f1,b1,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,6,f38,f2,f3,b1,b1,f1,b1,f1,b1,f1,b3,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,
38,4,f27,f-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6,b29,b2,f3,b2,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4,f28,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"6n,",4,b29,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"6d,",5,b28,f3,b1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4,b27,f-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"6n,",5,f27,b2,f2,f3,s3,f2,f2,s2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4,b27,f+3,f3,z2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"6d,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,6,b38,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4,s29,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"4n,",5,f37,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"5d,",6,b27,b2,f1,b1,f2,b2,f1,b2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"6n,",6,f27,b2,b3,f3,s;1,b-1,l3,t1,v3*,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"6n,",5,f28,b1,f2,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"6w,",6,b29,f2,b2,f1,f2,f3,b2,b+1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"6n,",5,f29,b3,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4,b27,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,6,b38,b2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"4d,",5,b28,f2,b1,f2,b+3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,6,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4,s38,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,4,b17,f-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,5,b38,f3,b2,b2,u1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,6,r37,s+1,b3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"4n,",4,b38,f3,b2,f3,b3,f3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,5,f19,b1,f;2,b-3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,6,s28,f+3,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,6,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"6d,",5,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,6,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"6#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4,b18,f1,b2,f1,s1,f1,s2,f+3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"6d,",5,b28,b2,f2,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"4n,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"6n,",5,f28,f3,b2,f1,r2,f1,f2,b3,b3,b2,b2,f1,f1,f2n@,,,,,,,,,,,,,,,,,,,,,,
80,"4n,",4,b38,b3,s+1,f3,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,6,b29,f2,f2,b2,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"4x,",4,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4,f28,f2,s3,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"6n,",6,b#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"4n,",c5,b39,f3,b2,f3,s3,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6,f28,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,6,s29,u1,f2,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4,s28,f1,f1,v=^2,f+1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4,r1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4,s3,j1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4,r1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"4n,",6,f29,b2,s+3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4,f29,f2,b2,b2,f1,r1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"4x,",5,b38,f3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"4x,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4,b39,b2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"4n,",5,b37,s3,b2,f2,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"6d,",5,f29,b2,s2,f2,f3,s2,u3,s+1,l2*,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"6n,",4,b38,b2,b3,b3,s1,f1,f2,b3,s3,f3,y3,s+1,f3w#,,,,,,,,,,,,,,,,,,,,,,,
103,4,r27,f+1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"4d,",4,b37,s3,f2,b2,f3,s3,f2,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"6d,",5,f287,f1,f2,f3,s3,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"4d,",4,b38,b2,f3,b2,f3,b3,f2,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5,b29,b2,f2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"6n,",5,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,4,b3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,6,s29,f;1,f+3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4,s37,f-3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"4w,",6,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,4,b39,f2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"6d,",5,b37,s3,f2,b2,f3,s3,s3,y1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,4,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"4n,",6,f29,f3,b3,b2,f3,s2,f2,f2,f1,r2,f1,f1,f3,s3n@,,,,,,,,,,,,,,,,,,,,,,
120,6,b38,b2,f2,b2,f;1,f1,f1,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,4,b37,b3,s1,r1,f1,f2,y1,f+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,5,b28,b2,b3,b3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"6d,",5,f29,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"4x,",4,b37,y3,s-1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,4,f37,f-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"4w,",4,b38,f3,b2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,4,f19,f2,b2,b2,s1,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,4,s28,f1,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,6,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"4n,",6d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,6,f27,f2,b2,f3,b3,f3,s3,s3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"4n,",5,b37,s3,f2,f2,b3,s3,f3,s3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"4n,",4,b29,b2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"4n,",4,b28,f3,b2,f3,b3,f3,b3,f1,f1,f1,f1,f+3,m3x#,,,,,,,,,,,,,,,,,,,,,,,
140,4,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"4w,",4,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,4,f28,b3,s3,f3,b3,b3,b1,f1,f2,b3,s3,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,
143,"4x,",5,f38,s3,f3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,6,s28,f1,f2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,5,b39,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"6w,",4,f28,f1,f2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,6,b39,b3,b3,b2,f2,f2,b3,s2,f3,b2,f1,f1w#,,,,,,,,,,,,,,,,,,,,,,,,,
148,4,s38,f1,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,4,f28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,6,f18,f2,b3,s3,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,4,f28,f2,f1,f2,b3,b1,f2,b2,b3,b2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,
152,6,f29,b2,f3,b2,f3,b2,f1,f2,b+3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,4,f+39,s2,j3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"4w,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,4,f29,b3,s+1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,6,f27,f3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,6,b29,f3,b3,b3,s1,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,4,b28,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,4,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,4,b28,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"6n,",4,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,"4w,",4,b38,b2,f2,f2,f3,s1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,"4n,",4,f19,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,"6w,",4,s2,j1,f;1,v2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,4,f28,f3,s3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,4,b37,s3,b3,s3,f3,s3,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,4,f28,b2,b3,b3,b3,b3,s2,f2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"c4d,",5,b29,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"4w,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,4,b38,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,4,f18,f1,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,4,b27,f1,f2,b2,b1,f1,f2,b2,s3,f2,f2,b3,s3,s2,b3,b3,s3w@,,,,,,,,,,,,,,,,,,,,
174,6,s18,f1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,5,f19,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"4w,",4d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,4,b38,s3,f1,f2,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"6d,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"4w,",5,f27,f1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,"6n,",5,b29,f3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,"4w,",4,r17,f+3,m2,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,"6n,",6,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"4n,",4,b28,f3,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,4,f1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"6n,",4,b38,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,6,b37,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,6,b17,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,"6d,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"4x,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,6,b29,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
