,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,b38,f3,b2,u3,s3,m3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,4,f18,f2,b1,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4,b27,f+1,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,s19,f1,f1,f+2,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,b37,f1,f2,u+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"6n,",4*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"4n,",g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,b29,f2,f3,b3,f3,b3,f3,b1,r2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"6n,",4,b38,f1,r3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"4w,",6,f;17,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4w,",4,b38,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,f28,f+3,s2,v1,l3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4n,",4,b37,b3,b1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"c6n,",6,f17,f3,b2,f3,b1,r3,f+1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,b19,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,6,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"6n,",6n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,b29,f3,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,6,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,4,b38,f1,f1,f3,b2,f3,b3,b1,f1,f3,b3,b1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4,f18,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,6,f38,f3,b3,u+3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6,b28,f1,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,b38,u+2,s1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,"6w,",6w,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,6,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4,s38,f2,f2,f3,b2,f3,s3,u3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"6d,",4,f28,b1,f1,f3,b3,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"4d,",4,f38,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,"6n,",6,b38,f3,b3,f3,b3,b1,f3,f1,f2,f3,b1,f1,f2,f3,s2,f3,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,
34,"6n,",5n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4,f28,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,"4n,",5,f38,b1,f3x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,6,b38,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
