,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,b1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"6n,",5,f2,b2,f1,f1,f1,f2,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,c6,f3#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,f1,r2,f3,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4,f1,f2,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4+,f2,z3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4,b2,f1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"4x,",4,f+2,f3,i2,h2,f2,o3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"4n,",5,b3,f3,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,f2,i1,u-1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4x,",5,f3,b+1,r2,v1,f3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"c6d,",6,s2,f1,f1,f3,s3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"5d,",4,b1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"4d,",6,f2,b2,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"6n,",6,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4+,f2,h1,h1,u-3,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,5,b1,f1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,6,b2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,4,b3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,6,b2,b3,b3,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,4,b2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,4,f2,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"6n,",5,b;3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,"6w,",5,s3,b3,b1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,4,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,4,b2,f2,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,4,f2,b2,b3,b3,b2,b1,f1,f3,b3,s3,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,6,f2,f2,f2,f3,f1,f2,f2,b2,f1,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4,b2,f1,f2,f2,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,c6,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,"4n,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,c4,b2,f1,f2,f3,s2,z3,b1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"6n,",5,f1,f3,b2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,"4n,",5,s1,f3,b3,s3,b3,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4,f1,f1,f1,r2,f+3,s1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"4w,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,6,s3,f1,f1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"4n,",5,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,6,b2,v3,s3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"4w,",5,b2,b2,f1,f2,f3,b1,f2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"c6n,",5,b2,f1,f3,b3,s1,v1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"cc6w,",5,s29,b38,b37,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"c6w,",5,s28,f29,b37,b38,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4,f17,f+1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,6,r39,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4,f2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"6d,",6,b38,b38,s29,f38,b37,s38,s29,b1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"6d,",6,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,5,s37,s38,b39,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,6,r29,f19,f27,f+39,m1,o17,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4,s37,f+18,l2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4,f1x#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,"6d,",4,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,"6x,",5,b29,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,"4n,",4,b39,b39,b37,b28,f17,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,6,s28,f+19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,6,s#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"4d,",4,s2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,5+,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"4n,",4,s3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,4,r28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4,r1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,5,b3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,"4d,",6,b28,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,"4d,",4,b39,b38,b28,f19,f19,f18,f18,f38,b38,b+38,s2,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,"6n,",5,b29,f18,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,6,f29,f38,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"4n,",5,f19,f28,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4,f;27*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"6d,",4,b39,b38,b38,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4,r17,r+3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,6,f37,s39,b39,s38,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,6,b27,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,5,f38,f;18,f27,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"6d,",5,f19,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"6d,",5,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,6,r29,f28,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,6,s29,f28,f39,b37,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4,s39,f39,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,5+,r2,v17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"6d,",6,f29,f28,f39,b28,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"6d,",6,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"6n,",4,b28,f17,f18,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"6w,",6,b18,f38,s38,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,6,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"4d,",4,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"4n,",6,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,4,r29,b39,s29,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,4,s39,f39,s37,s39,s37,s39,b1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,5+,r3,z37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,6,f28,f19,f17,f+18,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,4,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"4n,",6,b29,b39,b38,s29,f18,f28,f+39,s3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"4n,",4,b29,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,6,s29,f38,s29,f38,s29,f18,f18,f18,r3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"4n,",5d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,"6d,",5,f18,f3x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5,s38,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,4,s39,f38,b37,b39,s39,s29,f19,f19,f27,s19,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,6+,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,6,f27,f+3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,5,r18,f17,r28,s38,s3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,6,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"6n,",4,b28,f18,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,c5,b28,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,6,s37,f-18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,4,s27,f+38,b3,z1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"6n,",5,s28,f19,f29,f19,f39,b38,s39,b28,b38,b37,s29,f38,s39,f38,b38,b28,b28,b29,f29,f29,f18,f17*,,,,,,,,,,,,,,,,,,,,
127,5+,s2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,4,f18,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"4n,",4,r#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"6n,",4,b28,f18,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,c6,s2,k=39,b1d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,4,b37,b28,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,"6w,",5,s28,s29,s3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,"4w,",4,s39,b29,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,5,s27,f+18,l2,o37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,"6w,",4,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,"4n,",5,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,"4d,",4,b28,b38,s29,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,"6x,",5,b28,f29,b37,s39,b29,f18,f17,f19,f38,s3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,6,f27,f;39,b29,f29,f18,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,"4d,",6,b28,f19,f17,f+39,s3,z19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,6,f28,f39,s18,f28,f19,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,"6n,",6,b29,b38,s38,b38,s18,f39,s28,f17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,6,s27,u17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,6,f17,f-19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,4,r29,f+38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,"c4w,",4,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"6n,",5,b28,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"6d,",4,b18,f28,b29,s27,u17,r-38,m2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"4x,",5,b28,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,6,r39,f39,m18,o=18,r27,f+1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"4d,",6,b27,f28,f17,f19,f18,f19,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,4,s29,f28,f29,f17,r18,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"4x,",6,s39,b18,r27,y17,r-37,b3,z18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,4,s39,b39,s39,b38,b38,b39,b38,b37,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,5,s29,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,4,s29,f18,f27,f+39,m3,o37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,"5+d,",5,s3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,6,f29,f38,s39,f18*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,6,b28,f28,b27,f17,f17,f38,s38,b3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,6,f#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,4,r28,f38,s3n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,5,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,"4x,",5,b28,f17,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,"4w,",5,b18,f19,f17,f17,f18,f39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,4,s28,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,5+,s2,z38,m2,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,6,f1n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,6,b28,b+37,s2,v19,l2,v37*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"6d,",5,b27,f29,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,"6w,",4n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,4,f19,f27,s39,s38,s19,f29,b29,b37,s3d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,"4n,",5,f18,f18,f29,b28,f39,b38,b19*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,"4n,",4,b39,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,5+,s2,z39,m1,o17*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,6,f29,f18,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,6,s2d#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"4n,",4,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,"4n,",6,b29,f18,f18,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"4d,",5,b28,f38*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,4,r;27,r+3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
