,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,6,f39,f3,b3,s1,f3,b3,s2,f+1,rw#,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,f27,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,b27,u3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"4d,",4,b28,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"6w,",6,f28,f2,f3,b3,b1,f3,b3,b3,b1,f2,f3,b3,b3,b1n@,,,,,,,,,,,,,,,,,,,,,
7,c5,f28,f1,f3,b3,f3,b2,s1,f1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6,b18,f1,f1,f2,u3,sn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,6,f38,b3,b2,b3,b2,b1,f1,f1,f1,f2,f1,f1,f3,s3,y3,s1,f1*,,,,,,,,,,,,,,,,,,,
10,4,f17,f1,f1,f2,f3,b2,u3,sw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,4,f18,f3,b2,b3,b3,b3,b2,b1,f3,b3,b3,s3,b3,b3,b3,b1,f1,f1,f3,b;1,f3,y1,fn#,,,,,,,,,,,,,
12,"4d,",4,b37,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4+,f2,v^3,s3,z1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4,b37,f1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4,f29,b3,b1,f2,f1,f2,f3,b3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,4,f27,f3,b3,b1,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"6w,",6,f18,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,6,f29,b3,y3,b1,f1,v^1,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,"6n,",5,f27,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,"4w,",4,f;19,f3,f3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
