,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"6w,",5,b18,f1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,s29,f3,b1,f2,b1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,bw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4+,b3,v1,fn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,c4,f27,f3,b1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"6d,",6,f28,b2,b1,f3,b1,f1,f3,b1,f;2,f3n@,,,,,,,,,,,,,,,,,,,,,,,,
7,6,b27,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"6d,",5,b29,f2,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4,f28,f1,f3,b2,f2,b2,f2,b2,f3,b3,b1,f1,f2,b2,f1*,,,,,,,,,,,,,,,,,,,,
10,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,"4n,",4,f27,f2,b2,f3,b2,f1,f3,b2,f2,b2,b2,f1,f2,s2n@,,,,,,,,,,,,,,,,,,,,
12,4+,b2,v3,b3,z^3,f2*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,4,rw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"4x,",5,f37,b2n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,4,f28,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"6n,",4,r27,f3,b3,b1,f3,b1,f1,f3,b3,s2,r+1,f1w@,,,,,,,,,,,,,,,,,,,,,,
19,"4#,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,4,f28,b3,b3,b2,f3,b1,f1,f3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,
21,4,b27,f1x@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,6,b28,f1,f3,b3,f3,b3,b3,s2,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"4n,",5,b18,f2,b1,f3,b1,f2,b2,f3,b1,f3,b1,f2,s3,b2,f3,b2,b2,f;3,b3*,,,,,,,,,,,,,,,
24,"6d,",5,f39,b2,f3,s2,f1,f2,f2,b2,b1,fn#,,,,,,,,,,,,,,,,,,,,,,,,
25,6,fx#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,"4x,",4,f29,f3,s3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,6,fd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,"4n,",5,f!@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,c6,bw#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,"6n,",c6,b28,f3,b1,f1,f3,b+3,m2,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,
32,"4n,",4,b+28,b2,v^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,6,bx#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,4,f28,f3,b1,f1,f3,s2,u^3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,6,f37,b3,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,4+,m3,o1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,"6n,",4,b28,f1,f2,f1w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,"4w,",4,f37,b1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,6,b29,f2,f1,f3,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,4,b29,b2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,"c4d,",6,b17,f3,b2,f+1,l2,o3,b2,f1,f2,j3,b2,f3,b1,f3,s2,f1*,,,,,,,,,,,,,,,,,,
43,5,bd#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,6,bn#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,"4w,",6,f2d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"4n,",4x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,"6d,",5,f28,f1,f3,b2,b2,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,"4n,",6,f28,b3,b2,f3,b1,f1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,"6*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"6x,",4,f28,f3,b3,b1,f3,f3,s2,j2,l2n@,,,,,,,,,,,,,,,,,,,,,,,,,
51,6,f28,f3,b1,f1,f1,f2,f3,b2,z^w#,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4,f37,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4,b17,f3,b3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
