,Pts_A,Pts_B,Gm1,Gm2,Set1,Set2,0_dir
0,0,0,0,0,0,0,4
1,0,15,0,0,0,0,4
2,15,15,0,0,0,0,4
3,30,15,0,0,0,0,4
4,40,15,0,0,0,0,4
5,0,0,1,1,0,0,4
6,0,15,1,1,0,0,4
7,0,30,1,1,0,0,4
8,15,30,1,1,0,0,4
9,30,30,1,1,0,0,6
10,40,30,1,1,0,0,6
11,0,0,2,2,0,0,6
12,15,0,2,2,0,0,4
13,30,0,2,2,0,0,4
14,40,0,2,2,0,0,4
15,0,0,3,3,0,0,5
16,15,0,3,3,0,0,4
17,30,0,3,3,0,0,4
18,30,15,3,3,0,0,6
19,40,15,3,3,0,0,4
20,0,0,4,4,0,0,4
21,15,0,4,4,0,0,4
22,30,0,4,4,0,0,4
23,40,0,4,4,0,0,6
24,0,0,5,5,0,0,6
25,15,0,5,5,0,0,4
26,15,15,5,5,0,0,6
27,30,15,5,5,0,0,4
28,40,15,5,5,0,0,4
29,0,0,0,0,1,0,6
30,15,0,0,0,1,0,6
31,30,0,0,0,1,0,4
32,30,15,0,0,1,0,6
33,40,15,0,0,1,0,6
34,0,0,1,1,1,0,6
35,15,0,1,1,1,0,6
36,30,0,1,1,1,0,4
37,40,0,1,1,1,0,4
38,0,0,3,1,1,0,6
39,15,0,3,1,1,0,6
40,15,15,3,1,1,0,4
41,30,15,3,1,1,0,4
42,40,15,3,1,1,0,6
43,0,0,4,2,1,0,4
44,15,0,4,2,1,0,4
45,30,0,4,2,1,0,4
46,30,15,4,2,1,0,4
47,40,15,4,2,1,0,4
48,40,30,4,2,1,0,6
49,0,0,5,3,1,0,4
50,0,15,5,3,1,0,4
51,15,15,5,3,1,0,4
52,30,15,5,3,1,0,6
53,30,30,5,3,1,0,4
54,40,30,5,3,1,0,6
55,0,0,1,0,0,0,6
56,15,0,1,0,0,0,4
57,30,0,1,0,0,0,4
58,40,0,1,0,0,0,4
59,0,0,2,1,0,0,4
60,0,15,2,1,0,0,4
61,15,15,2,1,0,0,4
62,30,15,2,1,0,0,4
63,40,15,2,1,0,0,6
64,40,30,2,1,0,0,6
65,0,0,2,3,0,0,6
66,0,15,2,3,0,0,6
67,15,15,2,3,0,0,6
68,15,30,2,3,0,0,4
69,30,30,2,3,0,0,4
70,30,40,2,3,0,0,4
71,0,0,4,3,0,0,4
72,0,15,4,3,0,0,6
73,15,15,4,3,0,0,4
74,30,15,4,3,0,0,4
75,40,15,4,3,0,0,6
76,40,30,4,3,0,0,5
77,0,0,5,4,0,0,6
78,15,0,5,4,0,0,6
79,30,0,5,4,0,0,4
81,0,0,6,5,0,0,4
82,15,0,6,5,0,0,4
83,30,0,6,5,0,0,4
84,30,15,6,5,0,0,5
85,40,15,6,5,0,0,6
86,0,1,6,6,0,0,5
87,1,1,6,6,0,0,6
88,3,2,6,6,0,0,4
89,3,3,6,6,0,0,6
90,4,5,6,6,0,0,4
91,5,5,6,6,0,0,4
92,0,0,0,0,0,1,4
93,0,15,0,0,0,1,6
94,0,30,0,0,0,1,4
95,15,30,0,0,0,1,6
96,15,40,0,0,0,1,4
97,0,0,2,0,0,1,6
98,15,0,2,0,0,1,4
99,30,0,2,0,0,1,4
100,40,0,2,0,0,1,4
101,0,0,3,1,0,1,4
102,15,0,3,1,0,1,4
103,30,0,3,1,0,1,4
104,40,0,3,1,0,1,6
105,0,0,4,2,0,1,4
106,15,0,4,2,0,1,4
107,30,0,4,2,0,1,4
108,30,15,4,2,0,1,4
109,30,30,4,2,0,1,4
110,40,30,4,2,0,1,4
111,0,0,5,3,0,1,4
112,0,15,5,3,0,1,6
113,0,30,5,3,0,1,6
114,15,30,5,3,0,1,6
115,30,30,5,3,0,1,4
116,40,30,5,3,0,1,4
117,40,40,5,3,0,1,4
118,50,40,5,3,0,1,4
120,0,15,5,5,0,1,4
121,15,15,5,5,0,1,6
122,30,15,5,5,0,1,4
123,40,15,5,5,0,1,6
124,0,0,6,6,0,1,6
125,2,1,6,6,0,1,4
126,2,2,6,6,0,1,4
127,3,4,6,6,0,1,4
128,4,4,6,6,0,1,6
129,6,5,6,6,0,1,6
130,6,6,6,6,0,1,6
131,0,0,0,0,0,0,6
132,15,0,0,0,0,0,6
133,15,15,0,0,0,0,6
134,30,15,0,0,0,0,6
135,30,30,0,0,0,0,6
136,40,30,0,0,0,0,6
137,40,40,0,0,0,0,4
138,50,40,0,0,0,0,6
139,0,0,1,1,0,0,6
140,15,0,1,1,0,0,4
141,30,0,1,1,0,0,6
143,0,0,2,2,0,0,4
144,15,0,2,2,0,0,5
145,30,0,2,2,0,0,4
146,40,0,2,2,0,0,6
147,0,0,3,3,0,0,4
148,15,0,3,3,0,0,4
149,30,0,3,3,0,0,6
