,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
317909,15,15,1,1,0,0,1,"['4', 'b38', '29', 'f19*']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
317911,15,40,1,1,0,0,1,"['4', 'b39', '39', 'b38', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
317918,0,0,1,3,0,0,1,"['4', '28', 'v27', '19', 'f18*']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
317922,30,30,1,3,0,0,1,"['4', 'b28', '28', 'f19', '29', 'b39*']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
317938,0,0,0,0,0,1,1,"['6', '38', 'b39', '29', 'v18*']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
317942,30,30,0,0,0,1,1,"['4', 'b28', '37', 'b38', '29', 's39nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,False
317949,0,0,2,0,0,1,1,"['6', '38', 'b28', '29', 'b29', '39', 'f17nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,True,False
317965,40,40,3,1,0,1,1,"['4', 's29', '39', 'b38', '18', 'l28', '18', 'r27', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,False
317973,0,0,5,1,0,1,1,"['6', '38', 'f38', '37', 'f18nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,True,False
317975,30,0,5,1,0,1,1,"['4', 'b29', '18', 'f18nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
317994,0,0,1,2,1,1,1,"['4', '29', 'f39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
318024,15,15,4,3,1,1,1,"['4', 's27', '37', 'b29', '38', 'b29', '18', 'f38*']",sel_uct,dec_greedy,djoko_bot,B,8,True,False
318034,0,0,0,0,0,0,1,"['6', '38', 'f38', '39', 'b38', '38', 'b29', '37', 'b18nwdx']",sel_uct,dec_greedy,djoko_bot,A,9,True,False
318036,15,15,0,0,0,0,1,"['4', 'b28', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
318038,40,15,0,0,0,0,1,"['4', 'b28', '38', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
318048,15,15,2,0,0,0,1,"['4', 's29', '19*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
318058,0,0,3,1,0,0,1,"['4', '28', 'f38', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
318068,0,0,4,2,0,0,1,"['6', '38', 'f18', '37', 'f19', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
318082,0,0,5,3,0,0,1,"['4', '28', 'f19', '27', 's29', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
318091,0,0,0,1,1,0,1,"['6', '39', 'm28', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
318101,0,0,0,3,1,0,1,"['4', '29', 'f18', '38', 'b18', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
318114,0,0,2,3,1,0,1,"['6', '38', 'b27', '28', 'f39', '29', 'b37nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,True,False
318116,0,30,2,3,1,0,1,"['4', 'm27', '19', 'f18', '38', 'b38*']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
318128,0,0,3,4,1,0,1,"['6', '38', 'b19', '29', 'b37nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,True,False
318140,15,15,4,5,1,0,1,"['4', 'b38', '39', 'b17nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
318163,30,30,0,3,1,1,1,"['4', 'b28', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
318177,40,40,0,5,1,1,1,"['4', 's28', '38', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
318183,0,0,0,0,0,0,1,"['6', '39', 'y18', '19', 'f37', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
318193,0,0,1,1,0,0,1,"['4', '28', 'f29', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,False
318195,30,0,1,1,0,0,1,"['4', 'b18', '19*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
318197,30,30,1,1,0,0,1,"['4', 's39', '28', 'b28', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
318207,0,0,2,2,0,0,1,"['6', '39', 'b18', '28', 'f28', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
318209,15,15,2,2,0,0,1,"['4', 'b37', '37', 'b37', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
318216,0,0,3,3,0,0,1,"['4', '27', 'f18', '28', 'z18', '18', 'f18nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,True,False
318218,15,15,3,3,0,0,1,"['4', 'b28', '39*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
318232,15,15,4,4,0,0,1,"['4', 's28', '38', 'b29', '39', 'b28nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,False
318250,40,15,5,5,0,0,1,"['4', 'b28', '38*']",sel_uct,dec_greedy,djoko_bot,A,3,True,False
318260,0,0,6,6,0,0,1,"['4', '38', 'b37', '19', 'h29', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,True,False
318268,5,3,6,6,0,0,1,"['4', 's28', '39', 'b28nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,False
318272,6,6,6,6,0,0,1,"['4', 'b29', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,False
318292,0,0,0,1,0,1,1,"['6', '37', 'b29', '28', 'f19', '18', 'f17', '29', 'f28', '38', 'b39', '38', 'b37', '17', 'f37*']",sel_uct,dec_greedy,djoko_bot,B,15,True,False
318315,15,15,1,4,0,1,1,"['4', 'b29', '18', 'f38', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,False
318324,0,0,2,5,0,1,1,"['4', '39', 'b38', '37', 'f39', '37', 'b39', '29', 'f17', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,10,True,False
