,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
317919,15,0,1,3,0,0,1,"['4', 'f19', '28', 'f29', '28', 'f29', '18', 'f38', '29', 's29', '29', 's39', '18*']",sel_uct,dec_greedy,djoko_bot,A,13,True,True
317923,30,40,1,3,0,0,1,"['4', 'f28', '18', 'f27', '28', 'b38', '19', 'f39', '18', 'f17', '18', 'f38', '19', 'f19', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,15,True,True
317941,15,30,0,0,0,1,1,"['4', 'f28', '28', 's28', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
317952,30,15,2,0,0,1,1,"['4', 'f29', '38', 'b28', '28', 'b18', '38', 'b38', '29', 'f19', '19*']",sel_uct,dec_greedy,djoko_bot,A,11,True,True
317960,15,0,3,1,0,1,1,"['4', 'f19', '28', 'f17', '27', 'i39', '37', 's39nwdx']",sel_uct,dec_greedy,djoko_bot,A,8,True,True
317964,40,30,3,1,0,1,1,"['4', 'f28', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
317984,15,0,1,0,1,1,1,"['4', 'f18', '37', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
317986,30,15,1,0,1,1,1,"['4', 'f19', '27', 'f29', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
317988,30,40,1,0,1,1,1,"['4', 'f29', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
317997,40,0,1,2,1,1,1,"['4', 'f27', '29*']",sel_uct,dec_greedy,djoko_bot,A,3,True,True
318009,0,15,2,3,1,1,1,"['4', 'f18', '39', 'b39', '37', 'm27', '38', 'b38', '39', 'b27', '28', 'y17', '37', 'b28', '38', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,17,True,True
318011,15,30,2,3,1,1,1,"['4', 'f27', '28', 'f18*']",sel_uct,dec_greedy,djoko_bot,B,4,True,True
318013,40,30,2,3,1,1,1,"['4', 'r28', '18*']",sel_uct,dec_greedy,djoko_bot,A,3,True,True
318035,15,0,0,0,0,0,1,"['4', 'f18', '39', 'y19nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
318049,15,30,2,0,0,0,1,"['4', 'f18', '38', 'b39', '28', 'f39', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,True
318059,15,0,3,1,0,0,1,"['4', 'r19', '27', 'f27', '38', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,True
318073,40,30,4,2,0,0,1,"['4', 'f28', '37', 'b18', '29', 'f29', '29', 'b37', '17', 'f37*']",sel_uct,dec_greedy,djoko_bot,B,10,True,True
318083,15,0,5,3,0,0,1,"['4', 'f28', '39', 's27nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
318085,40,0,5,3,0,0,1,"['4', 'f28', '37', 'f39', '19*']",sel_uct,dec_greedy,djoko_bot,A,5,True,True
318092,15,0,0,1,1,0,1,"['4', 'f28', '38', 'b37', '18', 'f39', '37', 'b28', '18', 'f18nwdx']",sel_uct,dec_greedy,djoko_bot,A,10,True,True
318115,0,15,2,3,1,0,1,"['4', 'f28', '39', 's29', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
318117,15,30,2,3,1,0,1,"['4', 'f29', '38', 'f39', '17', 'f38', '19', 'f27', '28', 'f38', '19', 'l29nwdx']",sel_uct,dec_greedy,djoko_bot,A,12,True,True
318119,30,40,2,3,1,0,1,"['4', 'f17', '38', 'b19nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
318141,15,30,4,5,1,0,1,"['4', 'f28', '39', 'm29', '38', 's28', '19', 'f29', '18', 'f18', '27nwdx']",sel_uct,dec_greedy,djoko_bot,B,11,True,True
318160,0,15,0,3,1,1,1,"['4', 'r29', '28', 'f28', '29', 'f27', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,True
318184,15,0,0,0,0,0,1,"['4', 'f29', '37', 'b38', '39', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,True
318186,40,0,0,0,0,0,1,"['4', 'f19', '28', 'b17', '38', 'b38', '28', 'f18nwdx']",sel_uct,dec_greedy,djoko_bot,A,8,True,True
318196,30,15,1,1,0,0,1,"['4', 'f29', '38', 'b39', '18', 'f19', '19', 'v28', '19', 'f18', '29', 'f18', '19', 'f18', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,15,True,True
318208,15,0,2,2,0,0,1,"['4', 'f28', '38', 'b18nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
318210,15,30,2,2,0,0,1,"['4', 'f17', '37', 'm29', '18', 'f19', '37', 's39', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,True
318217,0,15,3,3,0,0,1,"['4', 'f28', '37', 'f29', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
318219,30,15,3,3,0,0,1,"['4', 'f27', '27', 'b27', '19', 'f17', '39', 'b39nwdx']",sel_uct,dec_greedy,djoko_bot,A,8,True,True
318221,40,30,3,3,0,0,1,"['4', 'f27', '29', 'b29', '38', 'm18nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,True
318231,0,15,4,4,0,0,1,"['4', 'f19', '29', 'f19', '18', 'f18', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,True
318249,30,15,5,5,0,0,1,"['4', 'f18', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
318263,1,2,6,6,0,0,1,"['6', '38', 'f17', '19', 'f18', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,True,True
318271,6,5,6,6,0,0,1,"['6', '39', 'b39', '38', 'b19*']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
318293,15,0,0,1,0,1,1,"['4', 'f27', '29*']",sel_uct,dec_greedy,djoko_bot,A,3,True,True
318295,40,0,0,1,0,1,1,"['4', 'f28', '38*']",sel_uct,dec_greedy,djoko_bot,A,3,True,True
318304,0,15,1,2,0,1,1,"['4', 'r38', '19', 'f18*']",sel_uct,dec_greedy,djoko_bot,B,4,True,True
318306,15,30,1,2,0,1,1,"['4', 'f39', '28', 'b28', '19', 'f18', '38', 'b38', '17', 'f18', '17', 'r39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,13,True,True
318341,40,30,1,0,0,0,1,"['4', 'r28', '19', 'f18nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
318351,15,0,2,1,0,0,1,"['4', 'f29', '38*']",sel_uct,dec_greedy,djoko_bot,A,3,True,True
318363,15,0,4,1,0,0,1,"['4', 'f39', '39', 'b38', '17*']",sel_uct,dec_greedy,djoko_bot,A,5,True,True
318365,30,15,4,1,0,0,1,"['4', 'f29', '38', 'm38', '37', 'b19nwdx']",sel_uct,dec_greedy,djoko_bot,A,6,True,True
318385,40,50,5,2,0,0,1,"['4', 'r27', '29', 'b19', '38', 'b38', '28', 'b28', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,True
318393,15,0,0,1,1,0,1,"['4', 'f28', '38', 'b39', '19*']",sel_uct,dec_greedy,djoko_bot,A,5,True,True
318406,40,30,1,2,1,0,1,"['4', 'f28', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
318412,15,0,2,3,1,0,1,"['4', 'f18', '39', 'y39', '29', 'b37', '19', 'f18', '38', 'm37', '17*']",sel_uct,dec_greedy,djoko_bot,A,11,True,True
318414,30,15,2,3,1,0,1,"['4', 'f27', '27', 'f27', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
318424,0,15,4,3,1,0,1,"['4', 'f27', '29', 'f18', '38', 's38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,True
318443,40,30,0,0,0,0,1,"['4', 'f28', '37', 'b19nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
318449,0,15,1,1,0,0,1,"['4', 'f28', '39', 'b38', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
318451,30,15,1,1,0,0,1,"['4', 'f28', '39*']",sel_uct,dec_greedy,djoko_bot,A,3,True,True
318462,30,15,2,2,0,0,1,"['4', 'f38', '28', 'b39', '38', 'm28', '27', 'f27', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,9,True,True
318484,15,30,3,3,0,0,1,"['4', 'f28', '39', 'b39', '18*']",sel_uct,dec_greedy,djoko_bot,A,5,True,True
318486,30,40,3,3,0,0,1,"['4', 'f28', '39', 'b27nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
318494,0,15,3,5,0,0,1,"['4', 'f18', '38', 's29', '19', 'f19', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,7,True,True
318508,15,30,5,5,0,0,1,"['4', 'f18', '38', 'b28', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
318544,15,30,2,0,1,0,1,"['4', 'f28', '39', 's18*']",sel_uct,dec_greedy,djoko_bot,B,4,True,True
318556,15,30,2,2,1,0,1,"['4', 'f38', '39', 'b37', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
318558,40,30,2,2,1,0,1,"['4', 'f28', '39', 'b27nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
318565,0,15,4,2,1,0,1,"['4', 'f29', '38', 'y38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
318567,15,30,4,2,1,0,1,"['4', 'f18', '39nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
318578,30,15,5,3,1,0,1,"['4', 'f28', '38', 'b28', '17', 'f28', '29', 's38nwdx']",sel_uct,dec_greedy,djoko_bot,A,8,True,True
318586,15,0,0,1,0,0,1,"['4', 'f17', '38', 'b28', '38', 'b29', '19', 'r28', '18', 'f19', '18', 'f28', '38', 'b28nwdx']",sel_uct,dec_greedy,djoko_bot,A,14,True,True
318601,40,30,1,2,0,0,1,"['4', 'f28', '38', 'b37', '18*']",sel_uct,dec_greedy,djoko_bot,A,5,True,True
318613,15,30,2,3,0,0,1,"['4', 'f28', '38', 'b19', '19', 'f38', '29', 'f28', '38', 's38', '17*']",sel_uct,dec_greedy,djoko_bot,A,11,True,True
318615,40,30,2,3,0,0,1,"['4', 'f39', '39', 'b38', '18*']",sel_uct,dec_greedy,djoko_bot,A,5,True,True
318624,15,0,3,4,0,0,1,"['4', 'f29', '38', 'b39nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
318626,30,15,3,4,0,0,1,"['4', 'f27', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,3,True,True
318635,15,0,4,5,0,0,1,"['4', 'f29', '39', 'b29', '37*']",sel_uct,dec_greedy,djoko_bot,A,5,True,True
318639,40,30,4,5,0,0,1,"['4', 'r39', '27', 'b18', '28', 'f37', '17', 'f38', '19', 'f19', '38', 'f37', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,13,True,True
318651,15,0,5,6,0,0,1,"['4', 'f29', '38*']",sel_uct,dec_greedy,djoko_bot,A,3,True,True
318656,0,1,6,6,0,0,1,"['6', '37', 'b18', '37nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,True,True
318664,5,4,6,6,0,0,1,"['6', '38', 'b39', '38', 'b19', '17*']",sel_uct,dec_greedy,djoko_bot,A,6,True,True
318668,6,7,6,6,0,0,1,"['4', '39', 'b39', '19', 'f17', '28', 'z28', '18', 'f29', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,10,True,True
318674,15,30,0,0,1,0,1,"['4', 'f27', '27', 's27', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,5,True,True
318698,30,15,1,3,1,0,1,"['4', 'f28', '39', 'b28nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,True,True
