,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
317920,30,0,1,3,0,0,1,"['4nwdx,', '6', 'f28', '18', 'r39nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,False
317951,15,15,2,0,0,1,1,"['4nwdx,', '6', 'f38', '19', 'f29', '19*']",sel_uct,dec_greedy,djoko_bot,A,6,False,False
317983,0,0,1,0,1,1,1,"['4nwdx,', '5', '18', 'f38', '19', 'f18', '19', 'f17nwdx']",sel_uct,dec_greedy,djoko_bot,A,8,False,False
317985,30,0,1,0,1,1,1,"['4nwdx,', '5', 'b38', '18*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
318010,15,15,2,3,1,1,1,"['4nwdx,', '6', 'f39', '19', 'r17nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,False
318012,30,30,2,3,1,1,1,"['4nwdx,', '6', 'f28', '18', 'f17', '19*']",sel_uct,dec_greedy,djoko_bot,A,6,False,False
318022,0,0,4,3,1,1,1,"['4nwdx,', '5', '18', 'f19nwdx']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
318026,30,30,4,3,1,1,1,"['4nwdx,', '6', 'f39', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
318046,0,0,2,0,0,0,1,"['5nwdx,', '4', '19', 'f17', '28', 'f18', '19', 'f38nwdx']",sel_uct,dec_greedy,djoko_bot,A,8,False,False
318052,40,40,2,0,0,0,1,"['4nwdx,', '5', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
318060,15,15,3,1,0,0,1,"['4nwdx,', '6', 'f38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
318070,30,0,4,2,0,0,1,"['4nwdx,', '6', 'f37', '39', 'b38', '29', 'f38nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,False
318086,40,15,5,3,0,0,1,"['4nwdx,', '6', 'f39', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,False
318093,30,0,0,1,1,0,1,"['4nwdx,', '6', 'f28', '19', 'f39', '28', 'b18', '19', 'f19', '18', 'o19', '19', 'f19', '28', 'f28', '28', 'f18', '37', 'b38', '19', 'f39', '39', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,23,False,False
318103,30,0,0,3,1,0,1,"['4nwdx,', '6', 'f18', '29', 'b38', '38', 'b39', '37', 'b27', '19', 'f39', '28*']",sel_uct,dec_greedy,djoko_bot,A,12,False,False
318118,15,40,2,3,1,0,1,"['4nwdx,', '6', 'f28', '18', 'f38', '39', 'b37', '39', 'b38', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,10,False,False
318149,0,0,0,1,1,1,1,"['6nwdx,', '4', '28', 'b38', '19', 'f38', '19', 'f28', '27', 'f28', '18', 'f18', '38', 'b38', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,15,False,False
318151,15,15,0,1,1,1,1,"['4nwdx,', '6', 'f29', '27', 'f17', '38', 'b28', '18', 'f39nwdx']",sel_uct,dec_greedy,djoko_bot,A,9,False,False
318161,15,15,0,3,1,1,1,"['4nwdx,', '6', 'f28', '18*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
318175,15,40,0,5,1,1,1,"['4nwdx,', '6', 'f37', '38', 'b29', '29', 'f38nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,False
318185,30,0,0,0,0,0,1,"['4nwdx,', '6', 'f38', '18*']",sel_uct,dec_greedy,djoko_bot,A,4,False,False
