,Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Sel_Pol,Dec_Pol,Opponent,Point_Winner,rally_length,1st_serve,deuce_side
317902,40,0,0,0,0,0,1,"['4nwdx,', '6', 'f29', '27', 'b28', '39', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
317910,15,30,1,1,0,0,1,"['4nwdx,', '6', 'b29', '19', 'f38', '18', 'f19', '39', 's38', '38', 'b38', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,12,False,True
317912,30,40,1,1,0,0,1,"['4nwdx,', '6', 'b37', '38', 'f38', '28', 'f38', '37', 'b39', '38', 'b27', '17', 'f39', '39', 'b37', '19*']",sel_uct,dec_greedy,djoko_bot,A,16,False,True
317921,30,15,1,3,0,0,1,"['4nwdx,', '6', 'b38', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
317939,0,15,0,0,0,1,1,"['4nwdx,', '6', 'b18', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
317943,40,30,0,0,0,1,1,"['4nwdx,', '6', 'b28', '38', 'b39', '38', 'y38nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
317976,40,0,5,1,0,1,1,"['4nwdx,', '6', 'b39', '38*']",sel_uct,dec_greedy,djoko_bot,A,4,False,True
318025,30,15,4,3,1,1,1,"['4nwdx,', '6', 'b28', '37', 'b38', '29', 'f17', '18*']",sel_uct,dec_greedy,djoko_bot,A,8,False,True
318037,30,15,0,0,0,0,1,"['4nwdx,', '6', 'b28', '39', 's29', '18', 'r18', '19', 'f17', '18', 'r28nwdx']",sel_uct,dec_greedy,djoko_bot,A,11,False,True
318039,40,30,0,0,0,0,1,"['4nwdx,', '6', 'b27', '28', 'b28', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,True
318047,0,15,2,0,0,0,1,"['4nwdx,', '6', 'b29', '28', 'f18*']",sel_uct,dec_greedy,djoko_bot,B,5,False,True
318053,50,40,2,0,0,0,1,"['4nwdx,', '6', 'b38', '18', 'f17', '38', 'b38nwdx']",sel_uct,dec_greedy,djoko_bot,A,7,False,True
318061,15,30,3,1,0,0,1,"['4nwdx,', '6', 'b19', '29', 'f17', '17', 'f27', '38', 'b29', '38', 'b19', '29', 'b27', '18', 'f19', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,16,False,True
318094,30,15,0,1,1,0,1,"['4nwdx,', '6', 'b28', '38', 'b18', '27nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,True
318096,30,40,0,1,1,0,1,"['4nwdx,', '6', 'b29', '38', 'b38', '27', 'f29', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
318102,15,0,0,3,1,0,1,"['4nwdx,', '6', 'b28', '38', 'b29', '38', 's38', '18', 'f17', '29', 'f19', '19*']",sel_uct,dec_greedy,djoko_bot,A,12,False,True
318104,40,0,0,3,1,0,1,"['4nwdx,', '6', 'b28', '38', 'b19', '18*']",sel_uct,dec_greedy,djoko_bot,A,6,False,True
318131,40,0,3,4,1,0,1,"['4nwdx,', '6', 'b29', '38', 'y19', '19*']",sel_uct,dec_greedy,djoko_bot,A,6,False,True
318139,0,15,4,5,1,0,1,"['4nwdx,', '6', 'b19', '19nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
318152,15,30,0,1,1,1,1,"['4nwdx,', '6', 'b28', '37', 'b19', '29', 'b28', '17nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
318174,0,40,0,5,1,1,1,"['4nwdx,', '6', 'b27', '39', 'b17', '18nwdx']",sel_uct,dec_greedy,djoko_bot,B,6,False,True
318176,30,40,0,5,1,1,1,"['4nwdx,', '6', 'b29', '38*']",sel_uct,dec_greedy,djoko_bot,A,4,False,True
318198,30,40,1,1,0,0,1,"['4nwdx,', '6', 'b39', '38', 'b38*']",sel_uct,dec_greedy,djoko_bot,B,5,False,True
318200,50,40,1,1,0,0,1,"['4nwdx,', '6', 'b28', '38', 'f38nwdx']",sel_uct,dec_greedy,djoko_bot,A,5,False,True
318235,40,30,4,4,0,0,1,"['4nwdx,', '6', 'b39', '38', 'b39', '19*']",sel_uct,dec_greedy,djoko_bot,A,6,False,True
318247,15,0,5,5,0,0,1,"['4nwdx,', '6', 's29', '27', 'f29', '17*']",sel_uct,dec_greedy,djoko_bot,A,6,False,True
318251,40,30,5,5,0,0,1,"['4nwdx,', '6', 'b19', '38', 's29', '39', 'b17', '28', 'b29', '38', 'b18*']",sel_uct,dec_greedy,djoko_bot,B,11,False,True
318297,40,30,0,1,0,1,1,"['4nwdx,', '6', 'b18', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
318314,15,0,1,4,0,1,1,"['4nwdx,', '6', 'b19', '38', 'b29', '39', 's28', '38', 'b19', '19', 'f39', '29', 'f28', '18', 'f17', '19', 'f17', '18', 'f38', '18', 'f19', '29', 'f39nwdx']",sel_uct,dec_greedy,djoko_bot,A,23,False,True
318339,30,15,1,0,0,0,1,"['4nwdx,', '6', 'b39', '37', 'b39', '39', 's18', '17', 'f27', '39', 'b39', '39', 'f19', '19', 'f17', '37', 'b38', '27', 'b29', '19*']",sel_uct,dec_greedy,djoko_bot,A,20,False,True
318355,40,30,2,1,0,0,1,"['4nwdx,', '6', 'b28', '38', 'b29', '37', 'f18', '19', 'f38nwdx']",sel_uct,dec_greedy,djoko_bot,A,9,False,True
318367,40,30,4,1,0,0,1,"['4nwdx,', '6', 'b28', '38', 's28', '19', 'f39', '29nwdx']",sel_uct,dec_greedy,djoko_bot,B,8,False,True
318381,40,30,5,2,0,0,1,"['4nwdx,', '6', 'b29', '38nwdx']",sel_uct,dec_greedy,djoko_bot,B,4,False,True
318383,40,50,5,2,0,0,1,"['4nwdx,', '6', 'b29', '37', 'y19', '17', 'f17', '19', 'f37', '29', 'f28', '19', 'f28', '28', 'b38', '38', 'b38', '37', 'b37', '17', 'f29', '18', 'f39', '19', 'r29', '38', 'b29', '19', 'f18', '28nwdx']",sel_uct,dec_greedy,djoko_bot,B,30,False,True
