Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley,Ralley_Length
15,0,0,0,0,0,1,"['5', '27', '38', '28nwdx']",4
30,0,0,0,0,0,1,"['6', '19', '38*']",3
40,0,0,0,0,0,1,"['5', '29', '19*']",3
40,15,0,0,0,0,1,"['6', '29', '27', '28', '29', '38', '37nwdx']",7
0,0,1,0,0,0,2,"['4', '38', '38', '28', '39*']",5
15,0,1,0,0,0,2,"['4', '38', '38', '39', '19', '39', '37', '39', '38nwdx']",9
30,0,1,0,0,0,2,"['4', '27', '18nwdx']",3
30,15,1,0,0,0,2,"['4', '39', '29', '18', '18*']",5
40,15,1,0,0,0,2,"['4nwdx,', '4', '37', '38', '38', '38', '38', '38nwdx']",8
0,0,2,0,0,0,1,"['6nwdx,', '5', '39', '19', '38', '38', '28', '18nwdx']",8
0,15,2,0,0,0,1,"['4', '38', '28', '18', '39', '18', '39', '18', '38', '17', '37', '38', '28', '18', '39', '37', '38', '29', '38', '37', '39', '38', '38', '37', '38nwdx']",25
0,30,2,0,0,0,1,"['4', '17', '37nwdx']",3
15,30,2,0,0,0,1,"['4nwdx,', '6', '18', '39', '28', '38', '39', '37', '39', '38', '39nwdx']",11
30,30,2,0,0,0,1,['6*'],1
40,30,2,0,0,0,1,['4*'],1
0,0,3,0,0,0,2,"['6', '19nwdx']",2
0,15,3,0,0,0,2,"['6nwdx,', '4', '28nwdx']",3
0,30,3,0,0,0,2,"['5nwdx,', '4', '38', '38', '39', '29', '39', '39', '28', '38*']",10
0,40,3,0,0,0,2,"['4', '38', '38', '19', '39*']",5
15,40,3,0,0,0,2,"['4nwdx,', '4nwdx']",2
30,40,3,0,0,0,2,"['6nwdx,', '5', '29', '19', '39', '27', '39', '28nwdx']",8
0,0,3,1,0,0,1,"['4', '29', '29', '38', '39', '29', '18', '39nwdx']",8
15,0,3,1,0,0,1,"['4nwdx,', '4', '38nwdx']",3
15,15,3,1,0,0,1,"['6', '17', '38', '39', '18', '29', '39nwdx']",7
15,30,3,1,0,0,1,"['6', '38', '28', '38', '38', '38', '39nwdx']",7
30,30,3,1,0,0,1,"['6', '38nwdx']",2
30,40,3,1,0,0,1,"['6nwdx,', '6nwdx']",2
0,0,3,2,0,0,2,"['6', '28', '37', '38', '38', '38', '38', '17*']",8
0,15,3,2,0,0,2,"['4nwdx,', '5', '28', '28', '29', '18', '28', '29', '37', '27', '29', '19', '39', '38', '39', '38', '38', '37', '39nwdx']",19
0,30,3,2,0,0,2,"['5', '38nwdx']",2
0,40,3,2,0,0,2,"['4nwdx,', '5', '37', '27', '39', '28', '38nwdx']",7
0,0,3,3,0,0,1,"['6', '28', '38', '37nwdx']",4
0,15,3,3,0,0,1,"['6', '37', '19', '19', '39nwdx']",5
0,30,3,3,0,0,1,"['6nwdx,', '4', '37', '27', '28', '39nwdx']",6
0,40,3,3,0,0,1,"['6nwdx,', '6', '27', '38', '37', '28', '28', '18', '17', '28', '28', '38', '27', '19', '29', '37', '19', '18', '39', '37', '19', '37', '38', '39', '29', '38', '29', '27', '18*']",29
0,0,3,4,0,0,2,"['6nwdx,', '6', '28', '38', '38', '28', '18', '39nwdx']",8
0,15,3,4,0,0,2,"['4', '28', '39', '29', '28', '39nwdx']",6
0,30,3,4,0,0,2,"['4nwdx,', '4', '17', '18', '38', '38', '37nwdx']",7
0,40,3,4,0,0,2,"['6', '38', '18', '29', '18*']",5
0,0,3,5,0,0,1,"['4nwdx,', '5', '19', '29', '28', '38', '28', '18*']",8
0,15,3,5,0,0,1,"['6', '29', '17nwdx']",3
15,15,3,5,0,0,1,"['6', '18nwdx']",2
15,30,3,5,0,0,1,"['6nwdx,', '6nwdx']",2
15,40,3,5,0,0,1,"['6', '29', '37', '38', '38', '19', '38', '37', '29', '19', '38nwdx']",11
0,0,0,0,0,1,2,"['6', '29', '29', '29', '39', '19', '29', '18', '37', '29', '37', '29', '38nwdx']",13
15,0,0,0,0,1,2,"['4nwdx,', '4', '39', '18nwdx']",4
30,0,0,0,0,1,2,"['4nwdx,', '5', '29', '38', '39', '38', '37', '19', '27', '28nwdx']",10
30,15,0,0,0,1,2,['6*'],1
30,30,0,0,0,1,2,"['4nwdx,', '5', '28', '38', '39', '27', '38', '37', '38', '28', '28nwdx']",11
30,40,0,0,0,1,2,"['4nwdx,', '5', '38', '29', '18', '27', '28nwdx']",7
0,0,0,1,0,1,1,['4*'],1
15,0,0,1,0,1,1,"['6', '29', '27', '39', '38*']",5
15,15,0,1,0,1,1,"['6', '29', '18nwdx']",3
30,15,0,1,0,1,1,"['6nwdx,', '4', '18', '38', '28nwdx']",5
30,30,0,1,0,1,1,"['6', '18', '28nwdx']",3
40,30,0,1,0,1,1,"['6', '27', '39', '39', '18', '38', '29', '29', '28', '29nwdx']",10
40,40,0,1,0,1,1,"['6', '29', '17', '27', '37', '38', '18nwdx']",7
50,40,0,1,0,1,1,"['6', '39', '39', '28', '38', '38nwdx']",6
0,0,1,1,0,1,2,"['6', '28', '29', '39', '39', '28', '39', '39', '29', '38nwdx']",10
