,Pts,Gm1,Gm2,Set1,Set2,Serving,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
0,0-0,0,0,0,0,ND,"4n,",4,f18,f3,s2,f1,f3,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0-15,0,0,0,0,ND,"4n,",6,f2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15-15,0,0,0,0,ND,"4*,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30-15,0,0,0,0,ND,"4n,",5,b3n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,40-15,0,0,0,0,ND,4,r28,f1,r2,f3,b3,f2,f1,f1,f3,b3,b3,b1,r2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0-0,1,0,0,0,CR,"4n,",6,b37,b2,f3,s2,f1,f1,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15-0,1,0,0,0,CR,"4n,",5,b38,s3,b3,b3,b3,b3,b1*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,15-15,1,0,0,0,CR,"6n,",5,f28,f3,s2,f+3,b2,v1d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,15-30,1,0,0,0,CR,"4d,",6,f38,f3,b2,f1,f2,f3d@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15-40,1,0,0,0,CR,"6d,",5,b3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,30-40,1,0,0,0,CR,6,f37,b3,b3,f3,s1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,40-40,1,0,0,0,CR,4,f3w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,AD-40,1,0,0,0,CR,4,b38,f3*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0-0,1,1,0,0,ND,4,r37,b+3,m2,o2,b2,f3w@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0-15,1,1,0,0,ND,"4n,",5,b28,f3,b2,f3,b3,f2,f2,f3,s1,f1,f1,f3,s3,b3,b1,f2,f3,b3,s3,f1,f1,f1,r2,y1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0-30,1,1,0,0,ND,"4d,",6,b28,f2,f1,f1,f3,b3,b3,b2,f1n@,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15-30,1,1,0,0,ND,4,b2n#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,30-30,1,1,0,0,ND,6,s1w#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
