Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley
15,0,0,0,0,0,1,"['6nwdx,', '4', '19nwdx']"
30,0,0,0,0,0,1,"['4', '37', 'f18', '38', 'b38', '38', 'f18', '18nwdx']"
40,0,0,0,0,0,1,"['4', '28', 'f18', '28', 'f17', '29', 'f28', '19', 'f18', '28', 'b38', '38', 'y18*']"
0,0,1,0,0,0,2,"['6', '28', 'b18', '18', 'f17', '18', 'f37', '19nwdx']"
0,15,1,0,0,0,2,"['4', 'f28', '37*']"
0,30,1,0,0,0,2,"['6', 'f38', '39', 'b38', '18', 'f28nwdx']"
15,30,1,0,0,0,2,"['6', 'b28', '39nwdx']"
30,30,1,0,0,0,2,"['4nwdx,', '5', 'b18*']"
40,30,1,0,0,0,2,"['6nwdx,', '5', 'f27', '28', 'f19', '18', 'f19', '28', 'f19', '28', 'f29', '19', 'f39', '27', 'b39', '39', 'b37', '18', 'f39*']"
40,40,1,0,0,0,2,"['4', 's18nwdx']"
50,40,1,0,0,0,2,"['6nwdx,', '4', 'f38*']"
40,40,1,0,0,0,2,"['4nwdx,', '5', 'b28', '28', 'b28', '18*']"
40,50,1,0,0,0,2,"['6', 'b29nwdx']"
0,0,1,1,0,0,1,"['4', 'b38', '38', 'b18nwdx']"
15,0,1,1,0,0,1,"['5', '19', 'f18', '28', 'f17', '19', 'v19*']"
15,15,1,1,0,0,1,"['4', '27', 'f39', '27', 'f39', '19', 'f19nwdx']"
30,15,1,1,0,0,1,"['4', '28', 'f19', '17nwdx']"
40,15,1,1,0,0,1,"['6nwdx,', '4', '28', 'f18', '18', 'f28', '19nwdx']"
0,0,2,1,0,0,2,"['6nwdx,', '4', '38', 'b19', '18nwdx']"
0,15,2,1,0,0,2,"['4', 'f29', '28', 'y39', '19*']"
15,15,2,1,0,0,2,"['5nwdx,', '5', 'f38', '18nwdx']"
30,15,2,1,0,0,2,"['4', 'f29', '29', 'f18', '17', 'l29', '39nwdx']"
30,30,2,1,0,0,2,"['5', 'f27nwdx']"
30,40,2,1,0,0,2,"['4nwdx,', '5', 'b38', '19', 'f39', '18', 'f38', '29', 'v28', '18', 'u19', '38', 'b39', '29', 'f18nwdx']"
0,0,2,2,0,0,1,"['6', 'f29nwdx']"
15,0,2,2,0,0,1,"['4', '38', 'f38', '38', 'f27', '18', 'f19', '17', 'f19', '28', 'f17', '27', 'f28', '19nwdx']"
30,0,2,2,0,0,1,['6*']
40,0,2,2,0,0,1,"['6', '29', 'f39*']"
40,15,2,2,0,0,1,"['6nwdx,', '4', '39*']"
0,0,3,2,0,0,2,"['4', '18nwdx']"
0,15,3,2,0,0,2,"['6', 's29', '18', 'f29nwdx']"
0,30,3,2,0,0,2,"['4', 'b29', '18*']"
0,40,3,2,0,0,2,"['6', 'b27', '29', 'f39', '19', 'f19nwdx']"
15,40,3,2,0,0,2,"['5nwdx,', '4nwdx']"
0,0,3,3,0,0,1,"['6nwdx,', '4', 'f28', '18', 'f39', '28', 'b37', '28', 'f19nwdx']"
15,0,3,3,0,0,1,"['6', '29', 'v17', '19', 'f27', '17', 'f17', '28', 's37', '39', 'f19', '18', 'f17', '39nwdx']"
30,0,3,3,0,0,1,"['6', '27nwdx']"
40,0,3,3,0,0,1,"['4', '17', 'h39', '39', 'b19', '39', 'b37', '29', 'f37', '17', 'r28', '18', 'f39', '19', 'f28', '28', 'b28', '17', 'f29', '18', 'f38', '27', 'f28', '17', 'f18*']"
0,0,4,3,0,0,2,"['6', '27', 'f28', '38', 'b19*']"
15,0,4,3,0,0,2,"['4nwdx,', '6', 'b19', '18', 'f17', '18', 'f38*']"
30,0,4,3,0,0,2,"['6nwdx,', '6', 'f18', '17', 'f39', '39', 's28', '18nwdx']"
30,15,4,3,0,0,2,"['4nwdx,', '5', 'b28', '39', 'b28', '29', 'b39', '18', 'f18', '27', 's19nwdx']"
30,30,4,3,0,0,2,"['6nwdx,', '4', 'b38', '28', 'f29', '17*']"
30,40,4,3,0,0,2,"['6', 's28', '17', 'f27', '18', 'f19nwdx']"
0,0,4,4,0,0,1,"['6', 'f37', '38', 's18nwdx']"
15,0,4,4,0,0,1,"['4', '19', 'f18*']"
15,15,4,4,0,0,1,"['6nwdx,', '5', '38', 'b18nwdx']"
30,15,4,4,0,0,1,"['6', '29nwdx']"
40,15,4,4,0,0,1,"['6nwdx,', '6', '28', 'b18', '29', 'b28', '28', 'b29', '18', 'f39', '18nwdx']"
0,0,5,4,0,0,2,"['6', '28', 'f18', '38', 'b18', '17nwdx']"
15,0,5,4,0,0,2,"['6nwdx,', '4', 'f38', '39', 'b38', '29', 'b18', '18nwdx']"
15,15,5,4,0,0,2,"['4', 'b38', '38', 'b38nwdx']"
15,30,5,4,0,0,2,"['5', 'r28', '19', 'f17nwdx']"
15,40,5,4,0,0,2,"['6nwdx,', '4', 'b39', '38', 'b27', '37', 'f18nwdx']"
0,0,5,5,0,0,1,"['6', 's38nwdx']"
15,0,5,5,0,0,1,"['4', '28nwdx']"
30,0,5,5,0,0,1,"['6', '17nwdx']"
40,0,5,5,0,0,1,"['6', '18', 'f37', '29nwdx']"
0,0,6,5,0,0,2,"['5', '19nwdx']"
0,15,6,5,0,0,2,"['4nwdx,', '4', 'f28', '29', 'b28', '28', 'b18', '17', 'v19', '28', 'f19', '29', 's28', '38', 'b28nwdx']"
15,15,6,5,0,0,2,"['6nwdx,', '4', 'b39', '18nwdx']"
30,15,6,5,0,0,2,"['6', 'm28', '39', 'b19', '39', 'b37', '38', 'b39', '38', 's38', '19', 'f19', '39nwdx']"
30,30,6,5,0,0,2,"['6nwdx,', '4', 'b38', '27', 'b38nwdx']"
30,40,6,5,0,0,2,"['6nwdx,', '4', 'f38nwdx']"
40,40,6,5,0,0,2,"['4nwdx,', '4', 'b28', '18', 'f28', '37', 'b19*']"
40,50,6,5,0,0,2,['4*']
0,0,6,6,0,0,1,"['4', 'b29nwdx']"
1,0,6,6,0,0,2,"['6nwdx,', '6', '28', 'f18*']"
2,0,6,6,0,0,2,"['4', 'b37', '28', 'b38', '38nwdx']"
2,1,6,6,0,0,1,"['5', 'b27nwdx']"
3,1,6,6,0,0,1,"['4', '18', 'v17', '19', 'v38', '19nwdx']"
4,1,6,6,0,0,2,"['6', '38nwdx']"
4,2,6,6,0,0,2,"['4', 'b37nwdx']"
4,3,6,6,0,0,1,"['4nwdx,', '5', 'b28', '37', 'f29', '19', 'f39', '39', 'b39', '39', 'b39', '39', 's38', '17*']"
5,3,6,6,0,0,1,"['4', '19nwdx']"
6,3,6,6,0,0,2,"['6', '38nwdx']"
6,4,6,6,0,0,2,['4*']
0,0,0,0,1,0,1,"['4', 'f28', '39nwdx']"
0,15,0,0,1,0,1,"['4nwdx,', '6nwdx']"
15,15,0,0,1,0,1,"['6nwdx,', '5', '29', 'f18', '18', 'f28', '38', 'b38', '38', 'y39', '39', 'b39', '37', 'b18', '29', 'f39', '18nwdx']"
30,15,0,0,1,0,1,"['6', '28', 'f38', '38nwdx']"
30,30,0,0,1,0,1,"['4', '29', 'f38nwdx']"
40,30,0,0,1,0,1,"['6nwdx,', '4', '39', 's38', '39', 'b38', '28', 'f38', '39nwdx']"
40,40,0,0,1,0,1,"['6', '29', 's28', '19', 'f39nwdx']"
50,40,0,0,1,0,1,"['6nwdx,', '4', '18', 'o28', '28', 'f18', '19nwdx']"
0,0,1,0,1,0,2,"['4', '29nwdx']"
0,15,1,0,1,0,2,"['4', 'f18', '29', 's29', '18', 'l27', '17', 'f18', '18', 'f19', '38*']"
0,30,1,0,1,0,2,"['4nwdx,', '5', 'f38', '37', 'b28', '38', 'b39', '39*']"
0,40,1,0,1,0,2,"['4nwdx,', '6', 'b18', '18*']"
15,40,1,0,1,0,2,"['4', 'b39', '29', 'f28', '38', 'b38', '28', 'b39', '29nwdx']"
30,40,1,0,1,0,2,"['6', 'b28', '18', 'f18*']"
0,0,1,1,1,0,1,"['4', 'b39nwdx']"
0,15,1,1,1,0,1,"['5', '29', 'f18nwdx']"
15,15,1,1,1,0,1,"['4nwdx,', '5', '28', 'f29', '29', 'f18', '17nwdx']"
30,15,1,1,1,0,1,"['4', '18', 'f18', '29', 'f38', '38', 'b29', '29', 'f17', '38nwdx']"
30,30,1,1,1,0,1,"['4', '38', 'b38', '38', 'b39', '38', 'f18', '27', 'b27', '29', 'b28nwdx']"
40,30,1,1,1,0,1,"['5', '18', 'f38', '37', 'b38', '18', 'f29', '29', 'b39*']"
0,0,2,1,1,0,2,"['4', '28', 'f38', '27', 'f29', '28', 'f19', '38', 'b39', '19nwdx']"
0,15,2,1,1,0,2,"['6nwdx,', '6', 's28', '38', 'y37', '28', 'b29', '37', 'f38nwdx']"
0,30,2,1,1,0,2,['6*']
15,30,2,1,1,0,2,"['6', 'b39', '37', 'b17*']"
30,30,2,1,1,0,2,"['5', 'f28', '18', 'f29', '38', 'b38', '38', 'b38', '37nwdx']"
40,30,2,1,1,0,2,"['4nwdx,', '6', 'b28', '38', 'b39', '29', 'b28', '39nwdx']"
0,0,3,1,1,0,1,"['6nwdx,', '4', 'b38', '38nwdx']"
0,15,3,1,1,0,1,"['6nwdx,', '5', '17*']"
15,15,3,1,1,0,1,"['4', '38nwdx']"
30,15,3,1,1,0,1,"['4', '28', 'f37', '28', 'z29*']"
40,15,3,1,1,0,1,"['6', '38nwdx']"
