Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley
15,0,0,0,0,0,1,"['4', '28', 'f18', '18nwdx']"
15,15,0,0,0,0,1,"['6nwdx,', '4nwdx']"
30,15,0,0,0,0,1,"['6', '18', 'f39*']"
30,30,0,0,0,0,1,"['4', '18', 'f17', '38', 'b37nwdx']"
40,30,0,0,0,0,1,"['4', '29', 'b39', '38nwdx']"
0,0,1,0,0,0,2,"['6', '17nwdx']"
0,15,1,0,0,0,2,"['6nwdx,', '6', 'b28', '19', 'r28', '38', 'b28', '37', 'b27', '28', 's28nwdx']"
15,15,1,0,0,0,2,"['4nwdx,', '4nwdx']"
30,15,1,0,0,0,2,"['5', 'f28', '28', 'f28', '39nwdx']"
40,15,1,0,0,0,2,"['4nwdx,', '4', 'b38', '19nwdx']"
40,30,1,0,0,0,2,"['6nwdx,', '4', 'f29', '29', 'f39', '17*']"
40,40,1,0,0,0,2,"['5nwdx,', '6', 'f27nwdx']"
50,40,1,0,0,0,2,"['4nwdx,', '5', 'f18', '39', 'b38', '28', 'b28', '19', 'f38', '19', 'f19', '17', 'f39', '38', 'b19', '17', 'f28', '27', 'f19', '17', 'f17', '28', 'f39', '27', 'f39', '27', 'f29', '19', 'f18', '39', 'b39*']"
0,0,2,0,0,0,1,"['4nwdx,', '4', 'b29', '19', 'f28', '37', 's38', '38nwdx']"
15,0,2,0,0,0,1,"['6', '28', 'f38', '28nwdx']"
30,0,2,0,0,0,1,"['4nwdx,', '4', '37', 'b19', '17nwdx']"
40,0,2,0,0,0,1,"['6', '37', 'z39', '27', 'f18', '28', 'f17', '29', 'f17', '17nwdx']"
0,0,3,0,0,0,2,['6*']
0,15,3,0,0,0,2,"['6', 's28', '38', 's39', '19', 'f17nwdx']"
15,15,3,0,0,0,2,"['6nwdx,', '5nwdx']"
30,15,3,0,0,0,2,"['6nwdx,', '6', 'b29', '29', 'f18*']"
30,30,3,0,0,0,2,"['4', 'b37', '38*']"
40,30,3,0,0,0,2,"['6', 'b28', '38', 'm18', '29', 'b19*']"
40,40,3,0,0,0,2,"['4nwdx,', '4', 'b39nwdx']"
50,40,3,0,0,0,2,"['6nwdx,', '5', 'b28', '38', 'b19', '39', 'b38', '17', 'l28', '28', 'f28', '28', 'f38', '38', 'b28', '28', 's28', '38', 'b28', '39', 'f37', '38', 'z18', '18nwdx']"
0,0,4,0,0,0,1,"['4nwdx,', '4', 'b27', '28', 'f18', '18', 'f28', '19', 'f18', '38nwdx']"
15,0,4,0,0,0,1,"['6', '27nwdx']"
15,15,4,0,0,0,1,"['4nwdx,', '6', '17', 'f38', '17*']"
15,30,4,0,0,0,1,"['6', '28', 'f18', '28', 'b39', '28', 'f17nwdx']"
30,30,4,0,0,0,1,"['6nwdx,', '4', '29nwdx']"
30,40,4,0,0,0,1,"['4nwdx,', '4', '37', 'b39', '28', 'b38', '18', 'f18', '39', 'b38', '29', 'f38nwdx']"
40,40,4,0,0,0,1,"['4nwdx,', '6', '28nwdx']"
50,40,4,0,0,0,1,"['4', '28', 'f19*']"
40,40,4,0,0,0,1,"['4nwdx,', '6', '28', 'f19', '38', 'b37nwdx']"
50,40,4,0,0,0,1,"['6', '27', 'b39', '38', 'b29', '28', 'b28', '39', 'b38', '39nwdx']"
40,40,4,0,0,0,1,"['4', '29', 'f37', '37', 'b38', '28', 'b27nwdx']"
40,50,4,0,0,0,1,"['6', '27', 'f19', '18', 'f18', '18', 'f28', '39', 'b38', '38*']"
40,40,4,0,0,0,1,"['4', '29', 'b28', '28', 's29', '19', 'f18', '38', 'b29', '38nwdx']"
40,50,4,0,0,0,1,"['6', '29', 'f18nwdx']"
0,0,4,1,0,0,2,"['4nwdx,', '5', '29', 'f17', '19', 'f28', '37', 'b28', '39', 'b37nwdx']"
15,0,4,1,0,0,2,"['4', 'f28', '38', 'b39', '29', 'f28', '29', 'b17', '39', 'f19*']"
30,0,4,1,0,0,2,"['4nwdx,', '5', 'f29', '37', 'b29', '29nwdx']"
40,0,4,1,0,0,2,"['4', 'f28', '27', 'b29', '38', 'b29', '27', 'b39*']"
40,15,4,1,0,0,2,"['4', 'b28', '19', 'f19', '28', 'f38', '17', 'r28nwdx']"
40,30,4,1,0,0,2,"['4', 'r27', '18', 'r18', '29', 'f39', '19', 'f28', '19', 'f18', '18*']"
0,0,5,1,0,0,1,"['4', 'b37', '19nwdx']"
0,15,5,1,0,0,1,"['4', '28', 'f17', '17', 'f19', '27', 'f18', '19', 'v17', '18', 'f39', '38', 'f38', '38', 'b29nwdx']"
15,15,5,1,0,0,1,"['6', '37', 'b29', '27', 'f38', '29', 'f19', '29', 'f28', '18', 'f38', '39nwdx']"
30,15,5,1,0,0,1,"['4nwdx,', '4', '29nwdx']"
30,30,5,1,0,0,1,"['4', '28', 'f17', '38', 'b39', '17', 'f18nwdx']"
30,40,5,1,0,0,1,"['6', '27', 'b29', '38*']"
0,0,5,2,0,0,2,"['4nwdx,', '4', '29', 'y29', '18*']"
15,0,5,2,0,0,2,"['4', 'f29', '18nwdx']"
15,15,5,2,0,0,2,"['4', 'b29', '18*']"
30,15,5,2,0,0,2,"['6nwdx,', '5', 'b28', '39', 'b18', '28', 'f38*']"
40,15,5,2,0,0,2,"['6', 'f38', '38', 'b18', '19', 'f17', '38', 'b38', '39', 'b38', '29', 'v19', '19nwdx']"
0,0,0,0,1,0,1,"['4nwdx,', '5', 's28', '37nwdx']"
15,0,0,0,1,0,1,"['6nwdx,', '5', '27', 'b28', '39', 'y17*']"
15,15,0,0,1,0,1,"['6', '17', 'f38', '28', 'f38', '37', 'f39', '28', 'v38', '28', 'f27', '19', 'f28nwdx']"
15,30,0,0,1,0,1,"['4', '29', 'f29nwdx']"
15,40,0,0,1,0,1,"['6nwdx,', '4', '38', 'b38nwdx']"
30,40,0,0,1,0,1,"['6', '37nwdx']"
40,40,0,0,1,0,1,"['6nwdx,', '5', '29', 'b38', '38', 'i19', '37', 'b17', '29', 'b38', '38', 'b29', '38nwdx']"
50,40,0,0,1,0,1,"['4nwdx,', '5', '28', 's29', '29nwdx']"
0,0,1,0,1,0,2,"['4nwdx,', '5', '39nwdx']"
15,0,1,0,1,0,2,"['4nwdx,', '5', 'b18', '17nwdx']"
15,15,1,0,1,0,2,"['4', 'b29', '38', 'b29', '38', 'm27', '18*']"
30,15,1,0,1,0,2,"['4', 'f19', '29', 'f19', '38', 'f38*']"
40,15,1,0,1,0,2,"['4', 'b29', '38', 'b28', '17nwdx']"
