Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley
0,15,0,0,0,0,1,"['6', 'b28', '18', 'l28', '39', 'b29', '29nwdx']"
0,30,0,0,0,0,1,"['5', 'b28', '38', 'b28', '28', 'f28', '29', 'b18', '37nwdx']"
0,40,0,0,0,0,1,"['4', 'f18', '39', 'b39', '27', 'b37', '38', 'm38', '19', 'f18*']"
15,40,0,0,0,0,1,"['6', 'f37nwdx']"
30,40,0,0,0,0,1,"['5', 'b29', '29*']"
40,40,0,0,0,0,1,"['4nwdx,', '6', 'f18', '37', 'b19nwdx']"
40,50,0,0,0,0,1,"['4', 'f28', '39', 'b28', '38', 'b39', '38nwdx']"
40,40,0,0,0,0,1,"['6', 'f37nwdx']"
50,40,0,0,0,0,1,"['5', 'f28', '17*']"
0,0,1,0,0,0,2,['6*']
0,15,1,0,0,0,2,"['6', '29', 'z18', '38', 'b18', '38nwdx']"
0,30,1,0,0,0,2,"['6', '18', 'f17', '38', 'b37', '29', 'f38', '37', 'b27', '37', 'b28', '29', 'b28', '28', 'f38', '37nwdx']"
0,40,1,0,0,0,2,['4*']
0,0,1,1,0,0,1,"['4', '39', 'b39', '38', 'k38', '27', 'l28', '28nwdx']"
15,0,1,1,0,0,1,"['4', 'f18', '19*']"
30,0,1,1,0,0,1,"['4', 's27', '29*']"
30,15,1,1,0,0,1,"['4', 'f28', '17', 'f18', '39', 'b39', '38', 'f19*']"
40,15,1,1,0,0,1,"['4', 's38', '39', 'b39', '38', 'b19', '27', 'b18', '39', 's28', '39', 'b17nwdx']"
0,0,2,1,0,0,2,"['4nwdx,', '5', 'b28', '38*']"
0,15,2,1,0,0,2,"['4nwdx,', '5', '29nwdx']"
0,30,2,1,0,0,2,"['6', '38', 'b39', '39', 'y28', '37', 'b39', '37', 'b19', '38', 'b38', '38', 'f17', '29', 'b38', '28', 'f38', '28', 's29', '37', 'b19', '29', 'f39', '19nwdx']"
15,30,2,1,0,0,2,"['4nwdx,', '5', '39', 'y18', '29', 'o19', '38', 'b28nwdx']"
15,40,2,1,0,0,2,['4*']
0,0,2,2,0,0,1,"['4', '29', 'f18', '37', 'b38', '19', 'f18', '37nwdx']"
