Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley
0,15,0,0,0,0,1,"['4', 'f28', '37', 's28', '38', 'b19', '38', 'm29', '38', 'y38', '37', 'b38', '29', 'b39', '29nwdx']"
15,15,0,0,0,0,1,"['6nwdx,', '6', 'f38', '39', 'b38', '29', 'f28nwdx']"
30,15,0,0,0,0,1,"['6', 'b29', '38*']"
40,15,0,0,0,0,1,"['6', 'f29', '39', 'b39', '28', 'o18', '37', 'b18', '39*']"
0,0,1,0,0,0,2,"['6nwdx,', '5', 'b28', '28', 'f18', '18', 'f18', '39', 'z18', '27', 'b39', '28', 'f18', '29', 'f17', '38', 'f28', '27', 'f18', '38', 's38', '38*']"
15,0,1,0,0,0,2,"['5nwdx,', '5', '18', 'f28', '38', 'm28nwdx']"
15,15,1,0,0,0,2,"['4', '38nwdx']"
30,15,1,0,0,0,2,"['5nwdx,', '5', '38', 'b18', '27', 'f19', '38', 'b18', '38', 'b39', '39', 's19', '38', 'b38', '38', 'm18nwdx']"
40,15,1,0,0,0,2,"['6', '38', 'b39', '38', 'b38', '39', 'b38', '19', 'l29', '39*']"
40,30,1,0,0,0,2,"['4', '28nwdx']"
0,0,2,0,0,0,1,"['6', '17', 'o39nwdx']"
15,0,2,0,0,0,1,"['6nwdx,', '6', 'b28', '38', 'b38', '39', 'b28', '18*']"
30,0,2,0,0,0,1,['6*']
30,15,2,0,0,0,1,"['6', 'b28', '38', 's39', '39', 'b29', '39', 'b29', '38nwdx']"
40,15,2,0,0,0,1,"['6nwdx,', '5', 'b28', '37', 'b37nwdx']"
40,30,2,0,0,0,1,"['6', 's29', '39', 'b28', '27', 'f29', '38nwdx']"
40,40,2,0,0,0,1,"['6', 'f29', '29', 'v29', '29', 'f38*']"
50,40,2,0,0,0,1,"['6nwdx,', '6', 'b28', '19', 'r29nwdx']"
0,0,3,0,0,0,2,"['6nwdx,', '5', 'b38nwdx']"
0,15,3,0,0,0,2,"['4nwdx,', '5', '28', 's29', '28', 'b38', '29', 'f38', '39nwdx']"
15,15,3,0,0,0,2,"['4nwdx,', '4', '39*']"
30,15,3,0,0,0,2,"['4', '17', 'f29', '38', 'f18nwdx']"
30,30,3,0,0,0,2,"['6', '39', 'b39*']"
30,40,3,0,0,0,2,"['4', '19nwdx']"
0,0,3,1,0,0,1,"['6', '39nwdx']"
0,15,3,1,0,0,1,"['6nwdx,', '6', 'b29', '38', 'b39', '28', 'f39', '29', 's19', '19nwdx']"
15,15,3,1,0,0,1,"['6', 'f29', '39', 'b38', '37', 'b38', '39', 'b38', '38*']"
30,15,3,1,0,0,1,"['6', 'b18', '39*']"
30,30,3,1,0,0,1,"['6', 'f28', '28', 'f18', '29', 'f38', '37nwdx']"
40,30,3,1,0,0,1,"['6', 'b28', '28', 's27', '37', 'b39', '39', 'f19', '37', 'b39', '27', 'b27', '39*']"
0,0,4,1,0,0,2,"['6', 'f27', '29', 'y38', '29', 'b18', '38', 'b28', '38', 's38', '38', 'b29', '19', 'f28', '37', 'b19', '27', 'f39', '38', 's39', '38', 'z19', '38*']"
15,0,4,1,0,0,2,"['4nwdx,', '5', '37', 'b29', '38', 'b38', '39*']"
15,15,4,1,0,0,2,"['4', '19', 'f39', '39nwdx']"
15,30,4,1,0,0,2,"['4', '19', 'f29', '37', 'y38', '38', 's38', '18nwdx']"
15,40,4,1,0,0,2,['4*']
0,0,4,2,0,0,1,"['6', '38', 'b38', '38', 'b39', '38', 'f19*']"
0,15,4,2,0,0,1,"['6', 'b28', '29nwdx']"
15,15,4,2,0,0,1,"['6', 'r28', '39', 'b29', '38', 'b39', '28', 'b28', '27', 'b28', '38', 's29', '29', 'f39nwdx']"
30,15,4,2,0,0,1,"['6nwdx,', '5', 'f29', '29', 'r27', '19', 'f29', '28', 'f29', '37', 'b38', '37*']"
40,15,4,2,0,0,1,"['6nwdx,', '5', 'f28', '38*']"
40,30,4,2,0,0,1,"['6', 'b18', '27', 'b29', '18', 'f28', '38', 'b28', '29', 'b28', '28', 'f29', '37nwdx']"
0,0,5,2,0,0,2,['6*']
0,15,5,2,0,0,2,"['6nwdx,', '5', '28', 'f28', '28', 'f28', '28', 's28', '38', 'b38', '19nwdx']"
