Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley
0,15,0,0,0,0,1,"['4nwdx,', '6', '29', '18', '29', '19', '28', '38', '39', '38nwdx']"
15,15,0,0,0,0,1,"['5', '38', '17*']"
30,15,0,0,0,0,1,"['5nwdx,', '6', '29', '39', '19nwdx']"
30,30,0,0,0,0,1,"['5', '27', '19', '38', '18nwdx']"
40,30,0,0,0,0,1,"['5', '37', '28', '19', '19', '18', '19', '18', '39*']"
40,40,0,0,0,0,1,"['5nwdx,', '6', '38', '38', '39', '39', '39', '17nwdx']"
40,50,0,0,0,0,1,"['6', '28', '28nwdx']"
0,0,0,1,0,0,2,"['5', '37', '29', '38', '37', '38', '18', '28*']"
15,0,0,1,0,0,2,"['4', '28', '38', '38', '39nwdx']"
30,0,0,1,0,0,2,"['4nwdx,', '4', '19', '17', '39', '18nwdx']"
30,15,0,1,0,0,2,['6*']
30,30,0,1,0,0,2,"['4nwdx,', '4', '19nwdx']"
30,40,0,1,0,0,2,"['5', '38', '18*']"
40,40,0,1,0,0,2,"['6nwdx,', '4', '38', '29', '29', '38', '17', '38', '28', '18', '38', '39', '39', '39', '38', '37', '28', '28', '28', '19', '38', '28nwdx']"
40,50,0,1,0,0,2,"['6', '19', '17', '18', '38*']"
40,40,0,1,0,0,2,"['6', '38', '19nwdx']"
40,50,0,1,0,0,2,"['6nwdx,', '6', '19nwdx']"
0,0,0,2,0,0,1,['4*']
0,15,0,2,0,0,1,"['4', '38', '38nwdx']"
0,30,0,2,0,0,1,"['4', '28', '18nwdx']"
15,30,0,2,0,0,1,"['4nwdx,', '5', '29', '29*']"
30,30,0,2,0,0,1,"['4nwdx,', '5', '27', '39', '38', '18*']"
40,30,0,2,0,0,1,"['4nwdx,', '5', '38', '18', '18', '38', '39', '28', '29', '38', '19nwdx']"
40,40,0,2,0,0,1,"['4nwdx,', '5', '27', '39nwdx']"
50,40,0,2,0,0,1,"['4', '38', '18', '37', '18', '17', '19*']"
40,40,0,2,0,0,1,"['4nwdx,', '5', '28', '38', '38', '39', '27', '29', '39', '38', '38', '38', '19', '37', '18', '18nwdx']"
50,40,0,2,0,0,1,"['4nwdx,', '4', '27', '19', '18', '19*']"
40,40,0,2,0,0,1,"['4', '17', '19nwdx']"
40,50,0,2,0,0,1,"['4nwdx,', '5', '28', '28', '18*']"
40,40,0,2,0,0,1,"['4nwdx,', '4', '28nwdx']"
50,40,0,2,0,0,1,"['4', '39', '28', '28', '19*']"
0,0,1,2,0,0,2,"['4', '38', '18', '28', '37', '38', '39', '38', '39', '29', '18', '39nwdx']"
0,15,1,2,0,0,2,"['4', '27nwdx']"
15,15,1,2,0,0,2,"['4', '28', '17', '29*']"
15,30,1,2,0,0,2,"['4nwdx,', '5', '19', '37', '27', '38', '38', '19', '18nwdx']"
15,40,1,2,0,0,2,"['4', '29', '39', '37', '38', '19', '39', '19nwdx']"
30,40,1,2,0,0,2,"['4nwdx,', '5', '39', '39', '19', '28', '37', '29', '19', '29', '37', '29', '28', '18', '18', '39', '37', '18', '38', '39', '18*']"
40,40,1,2,0,0,2,"['6nwdx,', '6nwdx']"
50,40,1,2,0,0,2,"['6nwdx,', '4nwdx']"
0,0,2,2,0,0,1,"['4nwdx,', '4', '19', '28', '18*']"
15,0,2,2,0,0,1,['6*']
30,0,2,2,0,0,1,"['6', '39', '39*']"
40,0,2,2,0,0,1,['6*']
0,0,3,2,0,0,2,"['6nwdx,', '4', '38', '18', '19', '39', '29nwdx']"
0,15,3,2,0,0,2,"['4', '27nwdx']"
0,30,3,2,0,0,2,"['6nwdx,', '5', '38', '27', '19', '19', '37', '37', '38', '37', '18nwdx']"
0,40,3,2,0,0,2,"['4', '28', '38', '38', '18*']"
