Points_A,Points_B,Games_A,Games_B,Sets_A,Sets_B,Serving_Player,Ralley
15,0,0,0,0,0,1,"['4', 'f27', 'f38', 'b38', 'y37', 'b29', 'b29', 'y17', 'f18', 'f38nwdx']"
15,15,0,0,0,0,1,"['6nwdx,', '6', 'f28', 'f39nwdx']"
15,30,0,0,0,0,1,"['6', 'b28', 'f38', 'y39', 'b28', 'f19*']"
30,30,0,0,0,0,1,"['6nwdx,', '4', 'b38', 's39', 'b38', 's29', 'f18', 'r28', 'b38', 'f38', 'b39', 'b38', 'y27', 'b38', 's39', 'b38', 'b38', 'b39', 'b39', 'b37*']"
40,30,0,0,0,0,1,"['6', 'b29', 'f19', 'f38', 'f37', 'b37', 'b39*']"
40,40,0,0,0,0,1,"['4', 'b37', 'b18', 'f18*']"
50,40,0,0,0,0,1,"['4nwdx,', '6', 'b28', 'b28', 'f29', 'f39', 'b37', 'b29', 'f18', 'f19', 'f38', 'b18', 'f17', 'f38', 'b28', 'f18', 'f37', 'b38*']"
0,0,1,0,0,0,2,['4*']
0,15,1,0,0,0,2,"['4', 'f17', 'f28', 'f39', 'b29', 'b38', 'b28', 'f18nwdx']"
15,15,1,0,0,0,2,"['4', 's28', 'f17', 'f29', 'h38', 'b37', 'b18nwdx']"
15,30,1,0,0,0,2,"['6', 's28', 'f18', 'r28', 'o39', 'f27', 'f28*']"
15,40,1,0,0,0,2,"['5nwdx,', '6', 'f37nwdx']"
30,40,1,0,0,0,2,"['4nwdx,', '5', 'b29', 'b28nwdx']"
0,0,1,1,0,0,1,"['5', 'f29', 'f18', 'f28', 'b18', 'f29', 'f28', 'f38nwdx']"
15,0,1,1,0,0,1,"['6', 'b28', 'b39', 'm17nwdx']"
30,0,1,1,0,0,1,"['4', 's29', 'f39', 'b38', 's39', 'b28nwdx']"
30,15,1,1,0,0,1,"['6', 'b27', 'f38', 'f18', 'f29', 's39', 'b37', 'b28', 'b29', 'f28', 'f19', 'f28', 'f17', 'f39', 'i18nwdx']"
30,30,1,1,0,0,1,"['4nwdx,', '4', 'b37', 'b38', 'b37', 'b18nwdx']"
30,40,1,1,0,0,1,"['4', 'f18*']"
0,0,1,2,0,0,2,"['4', 'b38', 'b38', 'b37', 'b39', 'b38', 'f19', 'f18', 'f17', 'l17', 'f37', 'b18', 'f28nwdx']"
0,15,1,2,0,0,2,"['6', 's38', 'f39', 'b38', 'b39', 's38', 'b38', 'b39', 'b28', 'b39', 's28', 'm29', 'f39*']"
0,30,1,2,0,0,2,"['6', 'f38nwdx']"
0,40,1,2,0,0,2,"['6', 's28nwdx']"
0,0,1,3,0,0,1,"['6', 'f17', 'f38*']"
15,0,1,3,0,0,1,"['4', 'f18', 'f29', 'f17', 'f38', 'm29', 'b38', 'f39', 'u39', 'b38', 'b17', 'f27', 'f19', 'f18', 'f17', 'f39', 'b17*']"
15,15,1,3,0,0,1,"['4nwdx,', '5', 'b28', 'f28nwdx']"
30,15,1,3,0,0,1,"['6nwdx,', '5', 'f38', 'b39', 's29', 'f28', 'f27', 'b39', 's38', 'z38', 'b18nwdx']"
40,15,1,3,0,0,1,"['4', 's28', 'f39*']"
0,0,2,3,0,0,2,"['4', 'f18', 'f38*']"
0,15,2,3,0,0,2,"['4', 'r29', 'f37', 'm38', 'b39*']"
0,30,2,3,0,0,2,"['6', 'f37nwdx']"
0,40,2,3,0,0,2,"['4nwdx,', '6', 'b28', 's18', 'f39nwdx']"
0,0,2,4,0,0,1,['6*']
0,15,2,4,0,0,1,"['5', 'b28', 'b38', 'b29', 'f18', 'f38*']"
0,30,2,4,0,0,1,"['6nwdx,', '5', 'f38', 'b18', 'f18', 'r17', 'l17', 'f28', 'f38', 's28nwdx']"
15,30,2,4,0,0,1,"['4', 'f18', 'f37', 'm19', 'f18', 'f38', 's39', 'b39', 'b38', 'b19', 'f18', 'f17', 'v39', 'b37', 'b29', 'y19', 'f38*']"
30,30,2,4,0,0,1,"['5', 'b28', 'f17*']"
40,30,2,4,0,0,1,"['4nwdx,', '5', 'f17', 'f18', 'f38nwdx']"
40,40,2,4,0,0,1,"['4', 'b37', 'b29nwdx']"
50,40,2,4,0,0,1,"['4', 'f28nwdx']"
0,0,3,4,0,0,2,"['6', 'f38', 'b18', 'f19', 'f27', 'f37', 'b38', 's39', 'b19', 'f38nwdx']"
0,15,3,4,0,0,2,['6*']
15,15,3,4,0,0,2,"['4', 's38', 'z38', 'b29', 'b39', 's28', 'f29', 's28', 'f28nwdx']"
15,30,3,4,0,0,2,"['6', 'b38nwdx']"
15,40,3,4,0,0,2,"['4', 'b38nwdx']"
30,40,3,4,0,0,2,"['4', 'f18', 'f39', 'b38', 'b39', 'b37', 'b38', 'f19', 'f37', 'b37', 'f39', 'b39', 'b18', 'f18', 'f28', 'f27', 'f19', 'f18', 'f38', 'b38', 'b38', 'b29', 'f38', 'b28', 'f18', 'f19', 'o39nwdx']"
0,0,3,5,0,0,1,"['5', 'b28', 'f38', 'b17', 'f29', 's38', 'b39', 'b37', 'b19', 'f28', 'f29', 'f38', 'f29', 'f17', 'f17', 'f38', 'y18', 'f18', 'f17*']"
15,0,3,5,0,0,1,"['4', 'f38nwdx']"
30,0,3,5,0,0,1,['4*']
30,15,3,5,0,0,1,"['4nwdx,', '4', 'f39', 's38', 'b38', 'b29', 'f39', 'b39', 'b38', 's27', 'f28', 'b28', 'b27', 'f39', 'b39', 'b29nwdx']"
40,15,3,5,0,0,1,"['6', 'f28nwdx']"
40,30,3,5,0,0,1,"['6', 'b39', 'b38', 'b38', 's29', 'b39', 'b29', 'f39', 'f38', 'b18*']"
0,0,4,5,0,0,2,"['6', 'f38', 'b28', 'b38', 'b39', 'b19', 'f29', 'f18', 'f17*']"
0,15,4,5,0,0,2,"['6nwdx,', '6', 'b29', 'b37*']"
0,30,4,5,0,0,2,"['4', 'b29', 'b39', 'f19nwdx']"
15,30,4,5,0,0,2,"['6nwdx,', '5', 'b39*']"
15,40,4,5,0,0,2,"['4nwdx,', '6', 'f29', 'b29', 'f27', 'f17', 'f18', 'f19', 'f19nwdx']"
30,40,4,5,0,0,2,"['4nwdx,', '5nd']"
40,40,4,5,0,0,2,"['6', 'f39', 'b37', 'b38', 'b39nwdx']"
40,50,4,5,0,0,2,"['4', 'f17', 'f38', 'b39nwdx']"
40,40,4,5,0,0,2,"['4nwdx,', '4', 'b28', 'r38', 'b29', 'f18', 'f19*']"
40,50,4,5,0,0,2,"['4nwdx,', '6', 'b28', 'f29', 'f39nwdx']"
40,40,4,5,0,0,2,"['4nwdx,', '5', 'b29', 'f19', 'f19', 'f39', 'b29', 'f18', 'r19', 'f17', 'f29', 'f38', 'b39', 'b39', 'b19', 'f38', 'b39', 'b27', 'f18', 'f18nwdx']"
40,50,4,5,0,0,2,"['4nwdx,', '4', 'f29', 'f19', 'f38nwdx']"
0,0,0,0,0,1,1,"['4nwdx,', '4', 's28', 'b39', 'b39nwdx']"
15,0,0,0,0,1,1,"['6', 's37', 's29', 'f29nwdx']"
30,0,0,0,0,1,1,"['4nwdx,', '4', 'b38', 'f39', 'b38', 'b38', 'b37', 'b38', 'b29', 'f39', 'b17nwdx']"
40,0,0,0,0,1,1,"['6', 's37', 'b29', 's39', 'b29', 'f18', 'v29', 'f18nwdx']"
0,0,1,0,0,1,2,"['4', 'b28', 'f39', 'm37', 'y38', 's28', 'b38', 'b28', 'f19', 'f19', 'f39*']"
15,0,1,0,0,1,2,"['6', 's18', 'f19', 'f18', 'f18', 'f19', 'f18', 'l18', 'f38', 'b19*']"
15,15,1,0,0,1,2,"['4', 'b39nwdx']"
15,30,1,0,0,1,2,"['6nwdx,', '4', 'f18nwdx']"
15,40,1,0,0,1,2,"['6', 'f39', 'b38*']"
0,0,1,1,0,1,1,"['4', 'f28', 'f18*']"
0,15,1,1,0,1,1,"['6nwdx,', '5nd']"
15,15,1,1,0,1,1,"['4nwdx,', '5', 'f38', 'b39', 'b17', 'f27', 'b17nwdx']"
30,15,1,1,0,1,1,"['4', 'r28', 'f19*']"
40,15,1,1,0,1,1,"['4nwdx,', '6', 'f37', 'f19*']"
0,0,2,1,0,1,2,"['4', 'f18', 'f29', 'b18nwdx']"
0,15,2,1,0,1,2,"['4nwdx,', '5', 'b28', 'b29', 's28', 'b29', 's29', 'b19', 'f17', 'f37', 'b38nwdx']"
0,30,2,1,0,1,2,"['4', 'b39', 'j38', 'm28', 'f17', 'f39', 'b38', 'b37nwdx']"
0,40,2,1,0,1,2,"['4', 'r28', 'f38', 'b18', 'f37*']"
0,0,2,2,0,1,1,"['6', 'f28nwdx']"
15,0,2,2,0,1,1,"['4nwdx,', '5', 'b38', 'b18', 'f18', 'f27', 'f18', 'r29', 'f38', 'b38', 's39', 'f39', 'b37', 'b19*']"
30,0,2,2,0,1,1,"['6', 'f37', 'f38', 'b38', 'b29', 'f38', 'b38', 'f37', 'b38', 'm19', 'v39', 'b38', 'b38', 'b39', 'f38', 'f17nwdx']"
30,15,2,2,0,1,1,"['4', 'f29', 'f38nwdx']"
40,15,2,2,0,1,1,"['4', 'b38', 'f19', 'f29', 'f28', 'f39', 'b38', 'f19', 'r29', 'b18', 'r37*']"
40,30,2,2,0,1,1,"['4', 'f18', 'f38', 'b38', 'b38nwdx']"
40,40,2,2,0,1,1,"['6nwdx,', '5', 'b28', 'b37', 'b28', 'b28', 'b29', 'b37', 'b38', 'b38', 's39', 'b28', 'f29', 'b18', 'f39', 'b29', 'f19', 'f29', 'f38', 'b39', 'b39', 'b37nwdx']"
40,50,2,2,0,1,1,"['6nwdx,', '6', 'f28', 'f19', 'f18', 'f28', 'f39', 'b38', 's39', 'f19', 'f17', 'f17nwdx']"
0,0,2,3,0,1,2,"['5', 'f29', 'f17nwdx']"
0,15,2,3,0,1,2,"['4', 'f28', 'b38', 'b28', 'v18*']"
0,30,2,3,0,1,2,['4*']
0,40,2,3,0,1,2,"['4', 'f27', 'f29', 'f27', 'f38', 'b38', 'b39', 's38', 'm29', 'f19', 'f39', 'b38', 'b29', 'o38', 'b17', 'f18', 'f17', 'f17', 'f17', 'l28', 'f38', 'b29', 'f18', 'f17', 'f18', 'l37', 'y19*']"
0,0,2,4,0,1,1,"['6', 'b28', 'b28', 'f19nwdx']"
15,0,2,4,0,1,1,"['4', 'f27', 'f39', 'b39', 'f38', 'b38', 'b28', 'f17', 'f29', 's28', 'f19', 'f39', 'b39', 'b28', 'f17', 'f18', 'f19', 'f29', 'f38', 'b38', 'y19', 'f29', 'f19*']"
15,15,2,4,0,1,1,"['4nwdx,', '6', 'f38', 'f28', 'f38', 'b37', 'b29', 'b29', 'f28', 'f19', 'f18', 'f19', 'f18', 'r29nwdx']"
30,15,2,4,0,1,1,"['6', 'b37nwdx']"
40,15,2,4,0,1,1,"['6', 'f29', 'b28', 'b18', 'f38*']"
40,30,2,4,0,1,1,"['4', 'f28', 'f18', 'f19', 'f18', 'f38', 'b38', 'b19', 'f19', 'f19', 'f28nwdx']"
0,0,3,4,0,1,2,"['4', 'b18nwdx']"
15,0,3,4,0,1,2,"['4nwdx,', '5', 'b28', 'f38', 'b28', 'b18', 'f18', 'f18', 'f39', 'b38nwdx']"
15,15,3,4,0,1,2,"['6nwdx,', '6', 'f19nwdx']"
15,30,3,4,0,1,2,"['4', 'f29', 'f39', 'b19', 'f17', 'f38', 'f28', 'b38', 'b39', 'b38', 'b38', 'b18', 'f38', 'b39', 'z19', 'l19', 'f39', 'y19', 'f39', 'b17nwdx']"
30,30,3,4,0,1,2,"['4nwdx,', '4', 'b38', 'f38', 'b39', 'b27', 'f37', 'b19', 'f19', 'f38nwdx']"
30,40,3,4,0,1,2,['6*']
0,0,3,5,0,1,1,"['6', 'f38nwdx']"
15,0,3,5,0,1,1,"['4nwdx,', '6', 'b37', 'b29', 'b28', 'b39', 'b29', 'f29', 'f29', 'f39', 'b37nwdx']"
30,0,3,5,0,1,1,['6*']
30,15,3,5,0,1,1,"['4', 'f28', 'f38', 'b28', 'f29', 'f38', 'y19', 'f18', 'f18nwdx']"
30,30,3,5,0,1,1,"['6', 'f39', 'b28', 'f28', 'f17', 'f28', 'f19', 'f29', 'f38', 'b38', 'z38', 'b37', 'b29', 'f19', 'f39', 'b27', 'f28', 'b38', 'b39', 's29', 'f38', 'b38', 'b28', 'r18', 'f19', 'f18', 'f18', 'r18', 'f38', 'b38', 'b19nwdx']"
40,30,3,5,0,1,1,['4*']
40,40,3,5,0,1,1,"['6', 'f28', 'f39', 'b28', 'f38', 'b29', 'f18', 'f19', 'f29', 'f19', 'f39', 'f18', 'v38nwdx']"
40,50,3,5,0,1,1,"['6', 'b29', 'b39nwdx']"
0,0,0,0,0,0,2,"['4nwdx,', '4', 'b38', 'b38', 'b38', 'f19', 'f17', 'f28', 'b39', 'b18', 'f18', 'f28', 's38', 'b17', 'f29', 'b39', 'b39', 'b29', 'b37', 'b28', 'f37', 'b38', 'b19', 'f19', 'f19', 'f38nwdx']"
